Essential,NonEssential,NonTargeting,BrunelloKinome,GuideID,GeneSymbol,BrunelloFullGenome,GuideID,GeneSymbol,AvanaFullGenome,GuideID,GeneSymbol
AARS,ABCG8,NonTargetingControlGuideForHuman,,AAK1-1,AAK1,,A1BG_58350637,A1BG,,A1BG-1,A1BG
ABCE1,ACCSL,,,AAK1-2,AAK1,,A1BG_58351502,A1BG,,A1BG-2,A1BG
ABCF1,ACTL7A,,,AAK1-3,AAK1,,A1BG_58351593,A1BG,,A1BG-3,A1BG
ACTB,ACTL7B,,,AAK1-4,AAK1,,A1BG_58351668,A1BG,,A1BG-4,A1BG
ACTL6A,ACTL9,,,AAK1-5,AAK1,,A1CF_50816056,A1CF,,A1CF-1,A1CF
ACTR10,ACTRT1,,,AAK1-6,AAK1,,A1CF_50816209,A1CF,,A1CF-2,A1CF
ACTR2,ADAD1,,,AAK1-7,AAK1,,A1CF_50828136,A1CF,,A1CF-3,A1CF
ADSL,ADAM18,,,AAK1-8,AAK1,,A1CF_50828283,A1CF,,A1CF-4,A1CF
ADSS,ADAM2,,,AATK-1,AATK,,A2ML1_8837514,A2ML1,,A2M-1,A2M
AHCY,ADAM20,,,AATK-2,AATK,,A2ML1_8841473,A2ML1,,A2M-2,A2M
ALG1,ADAM30,,,AATK-3,AATK,,A2ML1_8843315,A2ML1,,A2M-3,A2M
ALG14,ADH7,,,AATK-4,AATK,,A2ML1_8848763,A2ML1,,A2ML1-1,A2ML1
ALG2,AFM,,,AATK-5,AATK,,A2M_9090399,A2M,,A2ML1-2,A2ML1
ANAPC2,AICDA,,,AATK-6,AATK,,A2M_9101535,A2M,,A2ML1-3,A2ML1
ANAPC4,AIPL1,,,AATK-7,AATK,,A2M_9106521,A2M,,A2ML1-4,A2ML1
ANAPC5,ALPI,,,AATK-8,AATK,,A2M_9110031,A2M,,A3GALT2-1,A3GALT2
AQR,ALPPL2,,,ABCC1-1,ABCC1,,A3GALT2_33307217,A3GALT2,,A3GALT2-2,A3GALT2
ARCN1,ALX3,,,ABCC1-2,ABCC1,,A3GALT2_33307272,A3GALT2,,A3GALT2-3,A3GALT2
ARIH1,AMELX,,,ABCC1-3,ABCC1,,A3GALT2_33307388,A3GALT2,,A3GALT2-4,A3GALT2
ARL2,ANKRD30A,,,ABCC1-4,ABCC1,,A3GALT2_33312157,A3GALT2,,A4GALT-1,A4GALT
ATP2A2,ANKRD60,,,ABCC1-5,ABCC1,,A4GALT_42693302,A4GALT,,A4GALT-2,A4GALT
ATP5A1,ANTXRL,,,ABCC1-6,ABCC1,,A4GALT_42693417,A4GALT,,A4GALT-3,A4GALT
ATP5B,APOA4,,,ABCC1-7,ABCC1,,A4GALT_42693487,A4GALT,,A4GNT-1,A4GNT
ATP5C1,APOBEC1,,,ABCC1-8,ABCC1,,A4GALT_42693843,A4GALT,,A4GNT-2,A4GNT
ATP5D,APOF,,,ABL1-1,ABL1,,A4GNT_138124682,A4GNT,,A4GNT-3,A4GNT
ATP5J2-PTCD1,AQP12A,,,ABL1-2,ABL1,,A4GNT_138124754,A4GNT,,A4GNT-4,A4GNT
ATP5L,AQP8,,,ABL1-3,ABL1,,A4GNT_138124827,A4GNT,,AAAS-1,AAAS
ATP5O,ARGFX,,,ABL1-4,ABL1,,A4GNT_138131062,A4GNT,,AAAS-2,AAAS
ATP6V0B,ART1,,,ABL1-5,ABL1,,AAAS_53308978,AAAS,,AAAS-3,AAAS
ATP6V0C,ASB17,,,ABL1-6,ABL1,,AAAS_53309699,AAAS,,AAAS-4,AAAS
ATP6V1A,ASIC5,,,ABL1-7,ABL1,,AAAS_53314375,AAAS,,AACS-1,AACS
ATP6V1D,ASZ1,,,ABL1-8,ABL1,,AAAS_53315388,AAAS,,AACS-2,AACS
ATP6V1E1,ATOH1,,,ABL2-1,ABL2,,AACS_125073975,AACS,,AACS-3,AACS
ATR,ATP4B,,,ABL2-2,ABL2,,AACS_125091510,AACS,,AADAC-1,AADAC
AURKB,ATP6V1G3,,,ABL2-3,ABL2,,AACS_125114553,AACS,,AADAC-2,AADAC
BANF1,AWAT1,,,ABL2-4,ABL2,,AACS_125124982,AACS,,AADACL2-1,AADACL2
BIRC5,AWAT2,,,ABL2-5,ABL2,,AADACL2_151740730,AADACL2,,AADACL2-2,AADACL2
BUB1B,B3GNT6,,,ABL2-6,ABL2,,AADACL2_151740814,AADACL2,,AADACL2-3,AADACL2
BUB3,BANF2,,,ABL2-7,ABL2,,AADACL2_151745563,AADACL2,,AADACL3-1,AADACL3
BUD31,BARHL1,,,ABL2-8,ABL2,,AADACL2_151745664,AADACL2,,AADACL3-2,AADACL3
BYSL,BEND2,,,ACTR2-1,ACTR2,,AADACL3_12719547,AADACL3,,AADACL3-3,AADACL3
C10orf2,BHLHE23,,,ACTR2-2,ACTR2,,AADACL3_12719663,AADACL3,,AADACL3-4,AADACL3
C1orf109,BIRC8,,,ACTR2-3,ACTR2,,AADACL3_12725231,AADACL3,,AADACL4-1,AADACL4
C21orf59,BMP10,,,ACTR2-4,ACTR2,,AADACL3_12725356,AADACL3,,AADACL4-2,AADACL4
C3orf17,BMP15,,,ACTR2-5,ACTR2,,AADACL4_12644641,AADACL4,,AADACL4-3,AADACL4
C9orf114,BPIFA1,,,ACTR2-6,ACTR2,,AADACL4_12644708,AADACL4,,AADACL4-4,AADACL4
CCDC84,BPIFA3,,,ACTR2-7,ACTR2,,AADACL4_12651229,AADACL4,,AADAT-1,AADAT
CCDC94,BPIFB3,,,ACTR2-8,ACTR2,,AADACL4_12651291,AADACL4,,AADAT-2,AADAT
CCNA2,BPIFB6,,,ACVR1-1,ACVR1,,AADAC_151817539,AADAC,,AAED1-1,AAED1
CCNH,BPIFC,,,ACVR1-2,ACVR1,,AADAC_151824724,AADAC,,AAED1-2,AAED1
CCNK,BPY2,,,ACVR1-3,ACVR1,,AADAC_151824798,AADAC,,AAED1-3,AAED1
CCT2,BRDT,,,ACVR1-4,ACVR1,,AADAC_151827706,AADAC,,AAED1-4,AAED1
CCT3,BSND,,,ACVR1-5,ACVR1,,AADAT_170073335,AADAT,,AAGAB-1,AAGAB
CCT4,C10orf113,,,ACVR1-6,ACVR1,,AADAT_170087170,AADAT,,AAGAB-2,AAGAB
CCT5,C10orf120,,,ACVR1-7,ACVR1,,AADAT_170088401,AADAT,,AAGAB-3,AAGAB
CCT6A,C10orf53,,,ACVR1-8,ACVR1,,AADAT_170088552,AADAT,,AAGAB-4,AAGAB
CCT7,C11orf40,,,ACVR1B-1,ACVR1B,,AAED1_96651390,AAED1,,AAK1-1,AAK1
CCT8,C12orf40,,,ACVR1B-2,ACVR1B,,AAED1_96651664,AAED1,,AAK1-2,AAK1
CDC123,C14orf183,,,ACVR1B-3,ACVR1B,,AAED1_96654743,AAED1,,AAK1-3,AAK1
CDC16,C15orf55,,,ACVR1B-4,ACVR1B,,AAED1_96655135,AAED1,,AAK1-4,AAK1
CDC20,C16orf78,,,ACVR1B-5,ACVR1B,,AAGAB_67231841,AAGAB,,AAMDC-1,AAMDC
CDC27,C17orf102,,,ACVR1B-6,ACVR1B,,AAGAB_67236032,AAGAB,,AAMDC-2,AAMDC
CDC37,C17orf78,,,ACVR1B-7,ACVR1B,,AAGAB_67236491,AAGAB,,AAMDC-3,AAMDC
CDC5L,C18orf26,,,ACVR1B-8,ACVR1B,,AAGAB_67236713,AAGAB,,AAMP-1,AAMP
CDC73,C19orf45,,,ACVR1C-1,ACVR1C,,AAK1_69520963,AAK1,,AAMP-2,AAMP
CDK1,C1orf146,,,ACVR1C-2,ACVR1C,,AAK1_69527278,AAK1,,AAMP-3,AAMP
CDK7,C20orf173,,,ACVR1C-3,ACVR1C,,AAK1_69530642,AAK1,,AANAT-1,AANAT
CDK9,C20orf203,,,ACVR1C-4,ACVR1C,,AAK1_69542537,AAK1,,AANAT-2,AANAT
CDT1,C20orf79,,,ACVR1C-5,ACVR1C,,AAMDC_77842527,AAMDC,,AANAT-3,AANAT
CEBPZ,C2orf57,,,ACVR1C-6,ACVR1C,,AAMDC_77842593,AAMDC,,AANAT-4,AANAT
CENPA,C2orf61,,,ACVR1C-7,ACVR1C,,AAMDC_77869804,AAMDC,,AAR2-1,AAR2
CENPC,C2orf71,,,ACVR1C-8,ACVR1C,,AAMDC_77872184,AAMDC,,AAR2-2,AAR2
CFL1,C2orf83,,,ACVR2A-1,ACVR2A,,AAMP_218266511,AAMP,,AAR2-3,AAR2
CHAF1A,C3orf30,,,ACVR2A-2,ACVR2A,,AAMP_218266904,AAMP,,AARD-1,AARD
CHAF1B,C4orf40,,,ACVR2A-3,ACVR2A,,AAMP_218267537,AAMP,,AARD-2,AARD
CHEK1,C5orf20,,,ACVR2A-4,ACVR2A,,AAMP_218269414,AAMP,,AARD-3,AARD
CHERP,C6orf10,,,ACVR2A-5,ACVR2A,,AANAT_76468820,AANAT,,AARS-1,AARS
CHMP2A,C7orf66,,,ACVR2A-6,ACVR2A,,AANAT_76468853,AANAT,,AARS-2,AARS
CHMP6,C7orf71,,,ACVR2A-7,ACVR2A,,AANAT_76468895,AANAT,,AARS2-1,AARS2
CIAO1,C8A,,,ACVR2A-8,ACVR2A,,AANAT_76469257,AANAT,,AARS2-2,AARS2
CINP,C8B,,,ACVR2B-1,ACVR2B,,AAR2_36239930,AAR2,,AARS2-3,AARS2
CIRH1A,C8orf17,,,ACVR2B-2,ACVR2B,,AAR2_36240090,AAR2,,AARS2-4,AARS2
CKAP5,C8orf86,,,ACVR2B-3,ACVR2B,,AAR2_36240390,AAR2,,AARSD1-1,AARSD1
CLNS1A,C9orf53,,,ACVR2B-4,ACVR2B,,AAR2_36240533,AAR2,,AARSD1-2,AARSD1
CLP1,CABP2,,,ACVR2B-5,ACVR2B,,AARD_116938270,AARD,,AARSD1-3,AARSD1
CLTC,CABP5,,,ACVR2B-6,ACVR2B,,AARD_116938344,AARD,,AARSD1-4,AARSD1
CMPK1,CABS1,,,ACVR2B-7,ACVR2B,,AARD_116938424,AARD,,AASDH-1,AASDH
CMTR1,CACNG2,,,ACVR2B-8,ACVR2B,,AARD_116938533,AARD,,AASDH-2,AASDH
CNOT3,CACNG3,,,ACVRL1-1,ACVRL1,,AARS2_44304696,AARS2,,AASDH-3,AASDH
COA5,CACNG5,,,ACVRL1-2,ACVRL1,,AARS2_44305167,AARS2,,AASDH-4,AASDH
COPA,CATSPER4,,,ACVRL1-3,ACVRL1,,AARS2_44311080,AARS2,,AASDHPPT-1,AASDHPPT
COPB1,CCDC155,,,ACVRL1-4,ACVRL1,,AARS2_44313123,AARS2,,AASDHPPT-2,AASDHPPT
COPB2,CCDC172,,,ACVRL1-5,ACVRL1,,AARSD1_42955924,AARSD1,,AASDHPPT-3,AASDHPPT
COPS3,CCDC83,,,ACVRL1-6,ACVRL1,,AARSD1_42956266,AARSD1,,AASS-1,AASS
COPS6,CCKAR,,,ACVRL1-7,ACVRL1,,AARSD1_42961233,AARSD1,,AASS-2,AASS
COPZ1,CCL1,,,ACVRL1-8,ACVRL1,,AARSD1_42961302,AARSD1,,AASS-3,AASS
COQ4,CCT8L2,,,ADCK1-1,ADCK1,,AARS_70259155,AARS,,AASS-4,AASS
COX10,CD200R1L,,,ADCK1-2,ADCK1,,AARS_70262386,AARS,,AATF-1,AATF
COX11,CDCP2,,,ADCK1-3,ADCK1,,AARS_70269716,AARS,,AATF-2,AATF
COX15,CDX2,,,ADCK1-4,ADCK1,,AARS_70270295,AARS,,AATF-3,AATF
COX4I1,CDX4,,,ADCK1-5,ADCK1,,AASDHPPT_106077803,AASDHPPT,,AATK-1,AATK
COX5B,CDY1,,,ADCK1-6,ADCK1,,AASDHPPT_106077851,AASDHPPT,,AATK-2,AATK
COX6B1,CDY1B,,,ADCK1-7,ADCK1,,AASDHPPT_106079567,AASDHPPT,,AATK-3,AATK
CPSF1,CDY2A,,,ADCK1-8,ADCK1,,AASDHPPT_106079658,AASDHPPT,,AATK-4,AATK
CPSF2,CDY2B,,,ADCK2-1,ADCK2,,AASDH_56349930,AASDH,,ABAT-1,ABAT
CPSF3,CEACAM7,,,ADCK2-2,ADCK2,,AASDH_56354076,AASDH,,ABCA1-1,ABCA1
CPSF4,CELA2A,,,ADCK2-3,ADCK2,,AASDH_56354794,AASDH,,ABCA1-2,ABCA1
CRNKL1,CELA3A,,,ADCK2-4,ADCK2,,AASDH_56382546,AASDH,,ABCA1-3,ABCA1
CSE1L,CELA3B,,,ADCK2-5,ADCK2,,AASS_122093100,AASS,,ABCA10-1,ABCA10
CTDP1,CER1,,,ADCK2-6,ADCK2,,AASS_122098846,AASS,,ABCA10-2,ABCA10
CTPS1,CETN1,,,ADCK2-7,ADCK2,,AASS_122116747,AASS,,ABCA10-3,ABCA10
CTR9,CFHR2,,,ADCK2-8,ADCK2,,AASS_122126394,AASS,,ABCA10-4,ABCA10
CYCS,CFHR5,,,ADCK3-1,ADCK3,,AATF_36950360,AATF,,ABCA12-1,ABCA12
DAD1,CHAT,,,ADCK3-2,ADCK3,,AATF_36952965,AATF,,ABCA12-2,ABCA12
DBR1,CHRNA6,,,ADCK3-3,ADCK3,,AATF_36953240,AATF,,ABCA12-3,ABCA12
DCTN5,CHRNB3,,,ADCK3-4,ADCK3,,AATF_36986640,AATF,,ABCA12-4,ABCA12
DDB1,CLCA1,,,ADCK3-5,ADCK3,,AATK_81121876,AATK,,ABCA13-1,ABCA13
DDOST,CLDN17,,,ADCK3-6,ADCK3,,AATK_81122397,AATK,,ABCA13-2,ABCA13
DDX10,CLEC2A,,,ADCK3-7,ADCK3,,AATK_81124758,AATK,,ABCA13-3,ABCA13
DDX18,CLEC3A,,,ADCK3-8,ADCK3,,AATK_81128528,AATK,,ABCA13-4,ABCA13
DDX20,CLEC6A,,,ADCK4-1,ADCK4,,ABAT_8750463,ABAT,,ABCA2-1,ABCA2
DDX21,CLRN1,,,ADCK4-2,ADCK4,,ABAT_8764819,ABAT,,ABCA2-2,ABCA2
DDX27,CNBD1,,,ADCK4-3,ADCK4,,ABAT_8768843,ABAT,,ABCA2-3,ABCA2
DDX41,CNGA2,,,ADCK4-4,ADCK4,,ABAT_8772875,ABAT,,ABCA2-4,ABCA2
DDX47,CNGB3,,,ADCK4-5,ADCK4,,ABCA10_69182787,ABCA10,,ABCA3-1,ABCA3
DDX49,CNPY1,,,ADCK4-6,ADCK4,,ABCA10_69193157,ABCA10,,ABCA3-2,ABCA3
DDX55,CNTNAP5,,,ADCK4-7,ADCK4,,ABCA10_69193948,ABCA10,,ABCA3-3,ABCA3
DDX56,COL20A1,,,ADCK4-8,ADCK4,,ABCA10_69215981,ABCA10,,ABCA3-4,ABCA3
DGCR8,COX7B2,,,ADCK5-1,ADCK5,,ABCA12_214980518,ABCA12,,ABCA4-1,ABCA4
DHODH,CPXCR1,,,ADCK5-2,ADCK5,,ABCA12_214997757,ABCA12,,ABCA4-2,ABCA4
DHPS,CRNN,,,ADCK5-3,ADCK5,,ABCA12_215001651,ABCA12,,ABCA4-3,ABCA4
DHX15,CRX,,,ADCK5-4,ADCK5,,ABCA12_215011614,ABCA12,,ABCA5-1,ABCA5
DHX33,CRYGB,,,ADCK5-5,ADCK5,,ABCA13_48249301,ABCA13,,ABCA5-2,ABCA5
DHX37,CSH1,,,ADCK5-6,ADCK5,,ABCA13_48273340,ABCA13,,ABCA5-3,ABCA5
DHX8,CSHL1,,,ADCK5-7,ADCK5,,ABCA13_48274314,ABCA13,,ABCA5-4,ABCA5
DHX9,CSN2,,,ADCK5-8,ADCK5,,ABCA13_48295725,ABCA13,,ABCA6-1,ABCA6
DIEXF,CSN3,,,ADK-1,ADK,,ABCA1_104819703,ABCA1,,ABCA6-2,ABCA6
DIMT1,CST11,,,ADK-2,ADK,,ABCA1_104822641,ABCA1,,ABCA6-3,ABCA6
DIS3,CST4,,,ADK-3,ADK,,ABCA1_104826976,ABCA1,,ABCA6-4,ABCA6
DKC1,CST5,,,ADK-4,ADK,,ABCA1_104832696,ABCA1,,ABCA7-1,ABCA7
DLST,CST8,,,ADK-5,ADK,,ABCA2_137013505,ABCA2,,ABCA7-2,ABCA7
DMAP1,CST9,,,ADK-6,ADK,,ABCA2_137016128,ABCA2,,ABCA7-3,ABCA7
DNAJA3,CST9L,,,ADK-7,ADK,,ABCA2_137017246,ABCA2,,ABCA7-4,ABCA7
DNAJC9,CSTL1,,,ADK-8,ADK,,ABCA2_137020695,ABCA2,,ABCA8-1,ABCA8
DNM2,CT45A2,,,ADPGK-1,ADPGK,,ABCA3_2292140,ABCA3,,ABCA8-2,ABCA8
DNMT1,CT45A4,,,ADPGK-2,ADPGK,,ABCA3_2298507,ABCA3,,ABCA8-3,ABCA8
DOLK,CT45A5,,,ADPGK-3,ADPGK,,ABCA3_2304112,ABCA3,,ABCA8-4,ABCA8
DONSON,CT47A11,,,ADPGK-4,ADPGK,,ABCA3_2323662,ABCA3,,ABCA9-1,ABCA9
DPAGT1,CTCFL,,,ADPGK-5,ADPGK,,ABCA4_94029620,ABCA4,,ABCA9-2,ABCA9
DTL,CTRB1,,,ADPGK-6,ADPGK,,ABCA4_94036747,ABCA4,,ABCA9-3,ABCA9
DTYMK,CXorf1,,,ADPGK-7,ADPGK,,ABCA4_94048910,ABCA4,,ABCA9-4,ABCA9
DYNC1I2,CXorf66,,,ADPGK-8,ADPGK,,ABCA4_94063146,ABCA4,,ABCB1-1,ABCB1
ECD,CYLC2,,,ADRBK1-1,ADRBK1,,ABCA5_69271209,ABCA5,,ABCB1-2,ABCB1
EEF2,CYP11B1,,,ADRBK1-2,ADRBK1,,ABCA5_69286224,ABCA5,,ABCB10-1,ABCB10
EFTUD2,CYP11B2,,,ADRBK1-3,ADRBK1,,ABCA5_69297276,ABCA5,,ABCB10-2,ABCB10
EIF2B1,CYP26C1,,,ADRBK1-4,ADRBK1,,ABCA5_69306863,ABCA5,,ABCB10-3,ABCB10
EIF2B3,CYP2A13,,,ADRBK1-5,ADRBK1,,ABCA6_69106115,ABCA6,,ABCB10-4,ABCB10
EIF2B5,CYP2C19,,,ADRBK1-6,ADRBK1,,ABCA6_69124986,ABCA6,,ABCB11-1,ABCB11
EIF2S1,CYP4A22,,,ADRBK1-7,ADRBK1,,ABCA6_69133846,ABCA6,,ABCB11-2,ABCB11
EIF2S2,CYP4F8,,,ADRBK1-8,ADRBK1,,ABCA6_69136218,ABCA6,,ABCB11-3,ABCB11
EIF2S3,CYP7A1,,,ADRBK2-1,ADRBK2,,ABCA7_1045206,ABCA7,,ABCB4-1,ABCB4
EIF3A,DAZ1,,,ADRBK2-2,ADRBK2,,ABCA7_1048915,ABCA7,,ABCB4-2,ABCB4
EIF3B,DAZ2,,,ADRBK2-3,ADRBK2,,ABCA7_1051033,ABCA7,,ABCB5-1,ABCB5
EIF3C,DAZ3,,,ADRBK2-4,ADRBK2,,ABCA7_1054059,ABCA7,,ABCB5-2,ABCB5
EIF3D,DAZ4,,,ADRBK2-5,ADRBK2,,ABCA8_68903353,ABCA8,,ABCB6-1,ABCB6
EIF3G,DAZL,,,ADRBK2-6,ADRBK2,,ABCA8_68907793,ABCA8,,ABCB6-2,ABCB6
EIF3I,DCAF4L2,,,ADRBK2-7,ADRBK2,,ABCA8_68929161,ABCA8,,ABCB6-3,ABCB6
EIF4A3,DCAF8L1,,,ADRBK2-8,ADRBK2,,ABCA8_68932347,ABCA8,,ABCB6-4,ABCB6
EIF5A,DDI1,,,AGK-1,AGK,,ABCA9_69018503,ABCA9,,ABCB7-1,ABCB7
EIF5B,DDX4,,,AGK-2,AGK,,ABCA9_69021831,ABCA9,,ABCB7-2,ABCB7
EIF6,DEFA5,,,AGK-3,AGK,,ABCA9_69026465,ABCA9,,ABCB7-3,ABCB7
ELAC2,DEFA6,,,AGK-4,AGK,,ABCA9_69045326,ABCA9,,ABCB7-4,ABCB7
ELL,DEFB103B,,,AGK-5,AGK,,ABCB10_229539519,ABCB10,,ABCB8-1,ABCB8
EPRS,DEFB104A,,,AGK-6,AGK,,ABCB10_229542321,ABCB10,,ABCB8-2,ABCB8
ERCC2,DEFB106A,,,AGK-7,AGK,,ABCB10_229549284,ABCB10,,ABCB8-3,ABCB8
ERCC3,DEFB107A,,,AGK-8,AGK,,ABCB10_229558518,ABCB10,,ABCB9-1,ABCB9
ERH,DEFB118,,,AK1-1,AK1,,ABCB11_168944754,ABCB11,,ABCB9-2,ABCB9
EXOSC2,DEFB123,,,AK1-2,AK1,,ABCB11_168958086,ABCB11,,ABCB9-3,ABCB9
EXOSC3,DEFB126,,,AK1-3,AK1,,ABCB11_168973811,ABCB11,,ABCC1-1,ABCC1
EXOSC4,DEFB127,,,AK1-4,AK1,,ABCB11_168986209,ABCB11,,ABCC1-2,ABCC1
EXOSC6,DEFB129,,,AK1-5,AK1,,ABCB1_87539310,ABCB1,,ABCC1-3,ABCC1
EXOSC7,DGAT2L6,,,AK1-6,AK1,,ABCB1_87550553,ABCB1,,ABCC10-1,ABCC10
EXOSC8,DGKK,,,AK1-7,AK1,,ABCB1_87566146,ABCB1,,ABCC10-2,ABCC10
FAM96B,DIRC1,,,AK1-8,AK1,,ABCB1_87570210,ABCB1,,ABCC10-3,ABCC10
FARS2,DMP1,,,AK2-1,AK2,,ABCB4_87431525,ABCB4,,ABCC10-4,ABCC10
FARSA,DMRT1,,,AK2-2,AK2,,ABCB4_87440267,ABCB4,,ABCC11-1,ABCC11
FARSB,DMRTB1,,,AK2-3,AK2,,ABCB4_87443668,ABCB4,,ABCC11-2,ABCC11
FAU,DMRTC2,,,AK2-4,AK2,,ABCB4_87452958,ABCB4,,ABCC11-3,ABCC11
FNTA,DPCR1,,,AK2-5,AK2,,ABCB5_20643580,ABCB5,,ABCC11-4,ABCC11
FNTB,DPRX,,,AK2-6,AK2,,ABCB5_20647609,ABCB5,,ABCC12-1,ABCC12
FTSJ3,DRD3,,,AK2-7,AK2,,ABCB5_20651424,ABCB5,,ABCC12-2,ABCC12
GABPA,DRGX,,,AK2-8,AK2,,ABCB5_20681527,ABCB5,,ABCC12-3,ABCC12
GAPDH,DSCR4,,,AK3-1,AK3,,ABCB6_219213613,ABCB6,,ABCC12-4,ABCC12
GART,DSG4,,,AK3-2,AK3,,ABCB6_219214144,ABCB6,,ABCC2-1,ABCC2
GEMIN5,DSPP,,,AK3-3,AK3,,ABCB6_219216682,ABCB6,,ABCC2-2,ABCC2
GEMIN8,DTX2,,,AK3-4,AK3,,ABCB6_219218468,ABCB6,,ABCC2-3,ABCC2
GFM1,DUSP21,,,AK3-5,AK3,,ABCB7_75069409,ABCB7,,ABCC2-4,ABCC2
GGPS1,DUX4,,,AK3-6,AK3,,ABCB7_75073876,ABCB7,,ABCC3-1,ABCC3
GINS2,DUX4L7,,,AK3-7,AK3,,ABCB7_75075423,ABCB7,,ABCC3-2,ABCC3
GINS3,DUXA,,,AK3-8,AK3,,ABCB7_75114808,ABCB7,,ABCC3-3,ABCC3
GINS4,EFCAB3,,,AK4-1,AK4,,ABCB8_151034362,ABCB8,,ABCC4-1,ABCC4
GMPPB,EGR4,,,AK4-2,AK4,,ABCB8_151034755,ABCB8,,ABCC4-2,ABCC4
GMPS,ENTHD1,,,AK4-3,AK4,,ABCB8_151036130,ABCB8,,ABCC4-3,ABCC4
GNB2L1,ESX1,,,AK4-4,AK4,,ABCB8_151040286,ABCB8,,ABCC4-4,ABCC4
GNL3,EVX1,,,AK4-5,AK4,,ABCB9_122944396,ABCB9,,ABCC5-1,ABCC5
GPN3,F13B,,,AK4-6,AK4,,ABCB9_122946048,ABCB9,,ABCC5-2,ABCC5
GPS1,F9,,,AK4-7,AK4,,ABCB9_122948664,ABCB9,,ABCC5-3,ABCC5
GRPEL1,FABP2,,,AK4-8,AK4,,ABCB9_122949898,ABCB9,,ABCC6-1,ABCC6
GRWD1,FAM106A,,,AK5-1,AK5,,ABCC10_43432873,ABCC10,,ABCC6-2,ABCC6
GSPT1,FAM47A,,,AK5-2,AK5,,ABCC10_43433251,ABCC10,,ABCC6-3,ABCC6
GTF2B,FAM47B,,,AK5-3,AK5,,ABCC10_43441915,ABCC10,,ABCC8-1,ABCC8
GTF2H1,FAM47C,,,AK5-4,AK5,,ABCC10_43444294,ABCC10,,ABCC8-2,ABCC8
GTF2H2C,FAM71A,,,AK5-5,AK5,,ABCC11_48200418,ABCC11,,ABCC8-3,ABCC8
GTF2H4,FAM71B,,,AK5-6,AK5,,ABCC11_48211144,ABCC11,,ABCC9-1,ABCC9
GTF3A,FAM71C,,,AK5-7,AK5,,ABCC11_48222603,ABCC11,,ABCC9-2,ABCC9
GTF3C1,FAM75A7,,,AK5-8,AK5,,ABCC11_48227894,ABCC11,,ABCC9-3,ABCC9
GTF3C2,FAM75D1,,,AK7-1,AK7,,ABCC12_48108445,ABCC12,,ABCC9-4,ABCC9
GTF3C5,FCRL4,,,AK7-2,AK7,,ABCC12_48139261,ABCC12,,ABCD1-1,ABCD1
GTPBP4,FEZF1,,,AK7-3,AK7,,ABCC12_48140875,ABCC12,,ABCD1-2,ABCD1
GUK1,FEZF2,,,AK7-4,AK7,,ABCC12_48143948,ABCC12,,ABCD1-3,ABCD1
HARS,FFAR1,,,AK7-5,AK7,,ABCC1_16045972,ABCC1,,ABCD2-1,ABCD2
HAUS1,FGF3,,,AK7-6,AK7,,ABCC1_16071711,ABCC1,,ABCD2-2,ABCD2
HAUS5,FGF4,,,AK7-7,AK7,,ABCC1_16086971,ABCC1,,ABCD2-3,ABCD2
HCFC1,FGF6,,,AK7-8,AK7,,ABCC1_16111377,ABCC1,,ABCD2-4,ABCD2
HDAC3,FIGLA,,,AK8-1,AK8,,ABCC2_99792320,ABCC2,,ABCD3-1,ABCD3
HEATR1,FLG2,,,AK8-2,AK8,,ABCC2_99813047,ABCC2,,ABCD3-2,ABCD3
HINFP,FMR1NB,,,AK8-3,AK8,,ABCC2_99818804,ABCC2,,ABCD3-3,ABCD3
HIST1H2AJ,FNDC7,,,AK8-4,AK8,,ABCC2_99831682,ABCC2,,ABCD4-1,ABCD4
HIST2H2AA3,FNDC9,,,AK8-5,AK8,,ABCC3_50657098,ABCC3,,ABCD4-2,ABCD4
HJURP,FOXB1,,,AK8-6,AK8,,ABCC3_50658476,ABCC3,,ABCD4-3,ABCD4
HNRNPC,FOXB2,,,AK8-7,AK8,,ABCC3_50667883,ABCC3,,ABCD4-4,ABCD4
HNRNPK,FOXD4L3,,,AK8-8,AK8,,ABCC3_50673071,ABCC3,,ABCE1-1,ABCE1
HNRNPL,FOXD4L4,,,AK9-1,AK9,,ABCC4_95166247,ABCC4,,ABCE1-2,ABCE1
HNRNPU,FOXE3,,,AK9-2,AK9,,ABCC4_95178002,ABCC4,,ABCE1-3,ABCE1
HSD17B10,FOXN1,,,AK9-3,AK9,,ABCC4_95206641,ABCC4,,ABCE1-4,ABCE1
HSPA9,FOXR1,,,AK9-4,AK9,,ABCC4_95210739,ABCC4,,ABCF1-1,ABCF1
HSPD1,FRG2,,,AK9-5,AK9,,ABCC5_183953171,ABCC5,,ABCF1-2,ABCF1
HUWE1,FRMD7,,,AK9-6,AK9,,ABCC5_183961591,ABCC5,,ABCF1-3,ABCF1
HYPK,FSCB,,,AK9-7,AK9,,ABCC5_183978646,ABCC5,,ABCF2-1,ABCF2
IARS,FUT5,,,AK9-8,AK9,,ABCC5_183987908,ABCC5,,ABCF2-2,ABCF2
IGBP1,FUT9,,,AKT1-1,AKT1,,ABCC6_16173289,ABCC6,,ABCF2-3,ABCF2
ILF3,G6PC,,,AKT1-2,AKT1,,ABCC6_16177585,ABCC6,,ABCF2-4,ABCF2
IMP3,GABRA1,,,AKT1-3,AKT1,,ABCC6_16188905,ABCC6,,ABCF3-1,ABCF3
