GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
TGFBR2,x,8,5,0,0.6459999999999999,0.746,0.91,3.07525654689783e-05,0.00016230366492146599,0.00127835051546392,1.0,1.0,1.0
SBK1,x,8,6,0,0.722,0.784,1.082,4.28705300472686e-05,0.000240837696335079,0.00187755102040816,0.9576968047280732,0.963633507853403,1.0
TGFBR1,x,8,5,0,0.653,0.746,1.071,6.18006572944415e-05,0.00038743455497382203,0.00298989898989899,1.0,1.0,1.0
DYRK2,x,8,2,0,0.7290000000000001,0.866,0.928,6.813316114157139e-05,0.000418848167539267,0.0032,1.0,1.0,1.0
MAP3K20,x,8,2,0,0.748,0.823,0.942,7.20265738554922e-05,0.000429319371727749,0.00324752475247525,1.0,1.0,1.0
MST1,x,8,5,0,0.32299999999999995,0.662,0.929,7.609083516265141e-05,0.000445026178010471,0.00333333333333333,1.0,1.0,1.0
PIK3R4,x,8,6,0,0.339,0.5795,1.06,7.87401646610659e-05,0.00046596858638743495,0.00345631067961165,1.0,1.0,1.0
ERN2,x,8,1,0,0.777,0.875,0.934,9.56497506112638e-05,0.000586387434554974,0.00430769230769231,1.0,1.0,1.0
MARK2,x,8,1,0,0.8059999999999999,0.878,0.938,0.00011479156649089799,0.000670157068062827,0.004876190476190479,1.0,1.0,1.0
TPK1,x,8,5,0,0.192,0.414,1.026,0.000132328997264802,0.00074869109947644,0.00539622641509434,1.0,1.0,1.0
PI4KB,x,8,6,0,0.39,0.6985,0.949,0.000143338150470522,0.000801047120418848,0.00561467889908257,1.0,1.0,1.0
AK4,x,8,3,0,0.4270000000000001,0.8005,1.011,0.000143724128533874,0.000801047120418848,0.00561467889908257,1.0,1.0,1.0
CLK3,x,8,6,0,0.65,0.7509999999999999,1.109,0.000147386368694876,0.000801047120418848,0.00561467889908257,0.911320232701727,0.946445026178011,1.0
LYN,x,8,6,0,0.45,0.5235,1.086,0.00015952959778895101,0.000842931937172775,0.00585454545454545,0.8116895673985121,0.902052356020942,1.0
CDC42BPG,x,8,4,0,0.5820000000000001,0.813,0.991,0.00016364244018823702,0.000869109947643979,0.00598198198198198,1.0,1.0,1.0
ANKK1,x,8,5,0,0.639,0.7465,1.155,0.000167728701035771,0.000890052356020942,0.0060714285714285705,0.7612432432648141,0.8782617801047121,1.0
PIM2,x,8,5,0,0.703,0.8205,0.956,0.000184052870427846,0.000963350785340314,0.00651327433628319,1.0,1.0,1.0
DYRK1A,x,8,4,0,0.485,0.8285,1.02,0.000242438086001385,0.00128795811518325,0.00855652173913043,1.0,1.0,1.0
BAZ1B,x,8,6,1,0.616,0.726,1.214,0.000243567709810602,0.00128795811518325,0.00855652173913043,0.506357693833278,0.7299528795811521,1.0
RIOK2,p,8,6,1,0.138,0.4965,1.268,0.000252272301350314,0.00131937172774869,0.00868965517241379,0.26378907762506304,0.511560209424084,1.0
TSSK6,x,8,4,0,0.7040000000000001,0.7609999999999999,1.165,0.000323457701547794,0.00157068062827225,0.0102564102564103,0.718876479661674,0.8593769633507851,1.0
MAPK1,x,8,1,0,0.7859999999999999,0.8665,0.995,0.00033011062604224,0.0016020942408377,0.0103728813559322,1.0,1.0,1.0
ATM,x,8,3,0,0.693,0.8275,1.151,0.000370047127360169,0.00175392670157068,0.0112605042016807,0.7793896887496451,0.886397905759162,1.0
CLK2,x,8,6,1,0.5539999999999999,0.607,1.3219999999999998,0.00044502486267135403,0.0021465968586387397,0.0136666666666667,0.10683122698981097,0.284759162303665,0.902721991701245
PAN3,x,8,5,0,0.6970000000000001,0.8009999999999999,0.971,0.000559236708297547,0.0026230366492146604,0.0165619834710744,1.0,1.0,1.0
CKS2,x,8,5,0,0.485,0.779,0.967,0.000603866638354559,0.00282722513089005,0.0177049180327869,1.0,1.0,1.0
AKT2,x,8,2,1,0.695,0.8595,1.249,0.000664877625513153,0.00303141361256545,0.0188292682926829,0.34624281645929,0.6010680628272249,1.0
PPIP5K1,x,8,2,0,0.7340000000000001,0.879,1.001,0.000716638682431514,0.00326701570680628,0.0201290322580645,1.0,1.0,1.0
CDK11A,x,8,5,2,0.215,0.605,1.24,0.0007358565525117179,0.00338743455497382,0.020704,0.171965965101867,0.39561780104712,1.0
IP6K2,x,8,3,1,0.728,0.8220000000000001,1.245,0.00086930049020386,0.00395811518324607,0.024,0.368140345569465,0.621785340314136,1.0
AKT1,x,8,4,0,0.691,0.8225,0.933,0.00111595092170177,0.00510471204188482,0.0307086614173228,1.0,1.0,1.0
FYN,x,8,3,0,0.7559999999999999,0.8295,1.06,0.00120874804745725,0.005638743455497379,0.03365625,0.980272803521518,0.9766387434554972,1.0
SIK2,x,8,2,0,0.7659999999999999,0.845,0.932,0.00146945322298009,0.0079738219895288,0.0472248062015504,1.0,1.0,1.0
CKMT1B,x,8,1,0,0.649,0.8915,1.162,0.00156980237446381,0.008450261780104709,0.0496615384615385,0.73502344480793,0.8669005235602091,1.0
CDK3,x,8,3,0,0.779,0.903,1.411,0.00173399826967161,0.00915183246073299,0.0533740458015267,0.0229764945353544,0.0886073298429319,0.5775462184873951
UHMK1,x,8,2,0,0.813,0.846,0.972,0.0021548193362118,0.0106544502617801,0.0616666666666667,1.0,1.0,1.0
NEK2,x,8,5,0,0.16,0.708,1.114,0.00239879130293152,0.0115392670157068,0.0662857142857143,0.900402299869778,0.942324607329843,1.0
PHKG1,x,8,3,0,0.41,0.8390000000000001,1.035,0.00251462054988851,0.0118952879581152,0.0678208955223881,1.0,1.0,1.0
STK19,x,8,4,0,0.588,0.8245,1.0659999999999998,0.0031391224330481,0.015434554973821997,0.0873481481481481,0.97490470776321,0.9734083769633508,1.0
PIP5K1A,x,8,5,0,0.653,0.7925,1.06,0.00406997637061339,0.0195078534031414,0.109588235294118,1.0,1.0,1.0
GALK1,x,8,3,0,0.73,0.8655,0.996,0.00424158046981743,0.0200785340314136,0.111970802919708,1.0,1.0,1.0
TRIM33,x,8,3,0,0.705,0.8745,1.044,0.0045641439587044,0.021020942408377,0.116376811594203,1.0,1.0,1.0
PRKACA,x,8,2,0,0.7759999999999999,0.867,1.008,0.00507554579892229,0.0227853403141361,0.12523741007194195,1.0,1.0,1.0
GSK3A,x,8,1,0,0.6579999999999999,0.8655,1.115,0.0053926658377564714,0.0248062827225131,0.135371428571429,0.8976274402747341,0.941445026178011,1.0
TXK,x,8,3,0,0.695,0.879,1.118,0.00607384592237845,0.0268795811518325,0.145645390070922,0.7995736127138651,0.896057591623037,1.0
RSKR,x,8,4,0,0.6629999999999999,0.7715,1.166,0.00618995614437586,0.0272513089005236,0.146619718309859,0.716317435916518,0.858214659685864,1.0
ROR2,x,8,0,0,0.8059999999999999,0.9,1.025,0.00733536290280793,0.0318429319371728,0.17012587412587402,1.0,1.0,1.0
NME2,x,8,3,0,0.424,0.871,1.14,0.00775862013026955,0.0342251308900524,0.181583333333333,0.8191462601924171,0.9057539267015708,1.0
IP6K1,x,8,3,0,0.7490000000000001,0.8575,1.136,0.00815074589549583,0.0353979057591623,0.18651034482758605,0.834165048345593,0.912931937172775,1.0
STK40,x,8,1,0,0.767,0.8945,0.996,0.008820963429255991,0.0373089005235602,0.19523287671232895,1.0,1.0,1.0
PDK2,x,8,1,0,0.695,0.904,1.155,0.009199314918791291,0.0394607329842932,0.20508843537415,0.759766306804972,0.877549738219895,1.0
RAF1,x,8,4,1,0.608,0.8105,1.254,0.009976827290974979,0.0417225130890052,0.215378378378378,0.324599381929617,0.578879581151832,1.0
PHKG2,x,8,2,0,0.787,0.8859999999999999,1.037,0.0103205974362891,0.0436806282722513,0.223973154362416,1.0,1.0,1.0
MAPKAPK2,x,8,3,0,0.591,0.8525,1.164,0.0114483832436313,0.0470837696335079,0.23981333333333305,0.610617303258738,0.800774869109948,1.0
JAK1,x,8,1,1,0.8270000000000001,0.897,1.247,0.0116446466851459,0.0487120418848168,0.24646357615894,0.358585810908784,0.612643979057592,1.0
