Essential,Non_Essential
MCM3AP,GPR151
MCM4,GPR152
MCM5,GPR26
MCM7,GPR31
MDN1,GPR32
MED11,GPR45
MED12,GPR50
MED18,GPR52
MED27,GPR78
MED30,GPRC6A
MEPCE,GPX5
METTL16,GPX6
MMS22L,GRK1
MPHOSPH10,GRM4
MRP63,GRM5
MRPL18,GRM6
MRPL28,GSC2
MRPL38,GSTA5
MRPL4,GSX1
MRPL43,GSX2
MRPL45,GUCA2A
MRPL46,GUCY2F
MRPL53,H1FOO
MRPS14,H2BFM
MRPS24,H2BFWT
MRPS34,HAO1
MSTO1,HCRTR2
MTG2,HDGFL1
MVK,HHLA1
MYBBP1A,HIST1H2AA
MYC,HIST1H2BA
NAA10,HIST1H4G
NAA38,HMX1
NAA50,HOXB1
NAMPT,HOXD12
NAPA,HRG
NARFL,HRH3
NARS,HSFY1
NAT10,HSFY2
NCBP1,HTN3
NCBP2,HTR1A
NDC80,HTR2C
NDUFA13,HTR3C
NEDD8,HTR3D
NELFB,HTR3E
NHP2,HTR5A
NHP2L1,HTR6
NIP7,IAPP
NKAP,IFIT1B
NLE1,IFNA10
NMD3,IFNA14
NMT1,IFNA16
NOC4L,IFNA17
NOL10,IFNA2
NOL11,IFNA21
NOL6,IFNA4
NOL9,IFNA5
NOP16,IFNA6
NOP2,IFNA7
NOP56,IFNA8
NOP9,IFNB1
NPLOC4,IFNK
NSA2,IFNW1
NSF,IL12B
NUDC,IL13
NUDCD3,IL17A
NUDT21,IL17F
NUDT4,IL1F10
NUF2,IL21
NUP133,IL22
NUP155,IL25
NUP160,IL26
NUP214,IL28A
NUP85,IL28B
NUP88,IL29
NUP93,IL3
NUS1,IL31
NUTF2,IL36A
NVL,IL36B
NXF1,IL36RN
OGDH,IL9
OGT,INS
ORAOV1,INSL5
ORC6,INSL6
OSGEP,INSM2
PABPC1,INSRR
PAFAH1B1,IQCF1
PAICS,IRGC
PAK1IP1,ISX
PCID2,ITIH6
PCNA,IZUMO2
PFDN2,KCNA10
PFN1,KCNB2
PGAM1,KCNG4
PGGT1B,KCNK10
PGK1,KCNK16
PHB,KCNK18
PHB2,KCNV1
PHF5A,KHDC3L
PKMYT1,KIF2B
PLK1,KIR2DL1
PLRG1,KIR3DL3
PMPCA,KLK12
PMPCB,KLK9
PNKP,KRT2
POLA2,KRT25
POLR1A,KRT26
POLR1B,KRT28
POLR1C,KRT33A
POLR2A,KRT35
POLR2B,KRT36
POLR2C,KRT37
POLR2D,KRT38
POLR2E,KRT40
POLR2G,KRT71
POLR2H,KRT73
POLR2I,KRT74
POLR2L,KRT75
POLR3A,KRT76
POLR3C,KRT77
POLR3H,KRT78
POLR3K,KRT82
POLRMT,KRT84
POP1,KRT85
POP5,KRT86
PPA1,KRT9
PPAN,KRTAP1-1
PPAT,KRTAP10-1
PPIL2,KRTAP10-10
PPP2CA,KRTAP10-11
PPP2R4,KRTAP10-12
PPP4C,KRTAP10-2
PPWD1,KRTAP10-4
PREB,KRTAP10-5
PRELID1,KRTAP10-6
PRIM1,KRTAP10-7
PRMT1,KRTAP10-8
PRMT5,KRTAP10-9
PRPF19,KRTAP11-1
PRPF31,KRTAP13-1
PRPF38A,KRTAP13-2
PRPF38B,KRTAP13-3
PRPF4,KRTAP13-4
PRPF8,KRTAP15-1
PSMA1,KRTAP17-1
PSMA2,KRTAP19-3
PSMA3,KRTAP23-1
PSMA4,KRTAP26-1
PSMA5,KRTAP3-2
PSMA6,KRTAP4-11
PSMA7,KRTAP4-12
PSMB1,KRTAP4-2
PSMB2,KRTAP4-4
PSMB3,KRTAP4-7
PSMB4,KRTAP5-2
PSMB7,KRTAP9-2
PSMC2,KRTAP9-3
PSMC3,KRTAP9-4
PSMC5,LALBA
PSMC6,LBX1
PSMD1,LCN9
PSMD11,LCT
PSMD12,LGALS13
PSMD13,LGALS14
PSMD14,LHFPL5
PSMD3,LHX3
PSMD4,LHX5
PSMG3,LIM2
PTPN23,LIN28A
PUF60,LIPM
PWP2,LOR
QARS,LRIT1
RABGGTB,LRIT2
RACGAP1,LRRC10
RAD21,LUZP4
RAD51C,LYZL1
RAD51D,LYZL2
RAE1,LYZL6
RAN,MAGEA10
RANGAP1,MAGEA11
RARS2,MAGEB1
RBBP6,MAGEB10
RBM14,MAGEB18
RBM17,MAGEB3
RBM8A,MAGEB4
RBMX,MAGEC3
RBX1,MAS1
RCC1,MAS1L
RCL1,MBD3L1
RFC2,MBD3L2
RFC4,MBL2
RFC5,MC2R
RFK,MC3R
RHEB,MC5R
RIOK2,MEP1A
RNF20,MEP1B
RNGTT,MEPE
ROMO1,MFRP
RPA1,MMD2
RPA2,MMP20
RPF2,MMP21
RPL10A,MMP26
RPL11,MMP27
RPL12,MOGAT3
RPL13,MORC1
RPL14,MRGPRD
RPL18,MRGPRX1
RPL18A,MRGPRX2
RPL19,MRGPRX4
RPL23,MS4A10
RPL24,MS4A13
RPL27,MS4A5
RPL27A,MSGN1
