"GeneSymbol","Type","TotalGuides","HitsDown","HitsUp","MinFoldChange","MedianFoldChange","MaxFoldChange","rhoDepleted","pvalueDepleted","fdrDepleted","rhoEnriched","pvalueEnriched","fdrEnriched"
"SYK","x",8,0,0,0.614,0.75,1.168,7.4033557092965e-05,0.000329842931937173,0.132,1,1,1
"PIP5K1C","x",8,0,0,0.671,0.784,1.235,7.83610602054596e-05,0.000345549738219895,0.132,0.622419149157364,0.645952879581152,0.996862068965517
"PAK2","x",8,0,0,0.551,0.787,0.969,0.000288660281296129,0.00116753926701571,0.297333333333333,1,1,1
"STK33","x",8,0,0,0.608,0.8305,1.118,0.000387832812241363,0.00164921465968586,0.315,1,1,1
"TK1","x",8,0,0,0.602,0.9415,1.279,0.00113791069315517,0.004,0.5548,0.246888465903541,0.372162303664921,0.982690690690691
"CSNK1G3","x",8,0,0,0.5,0.9075,1.383,0.00129084290533286,0.00552356020942408,0.5548,0.220608149489149,0.345455497382199,0.982690690690691
"CAMK2D","x",8,0,0,0.723,0.8155,1.111,0.0016515807047315,0.0066282722513089,0.5548,1,1,1
"CRKL","x",8,0,0,0.567,0.8195,0.965,0.00183727908325814,0.00718324607329843,0.5548,1,1,1
"NME2","x",8,0,0,0.768,0.8145,1.332,0.00184500136029108,0.00719895287958115,0.5548,0.224867671337037,0.349905759162304,0.982690690690691
"NEK9","x",8,0,0,0.519,0.8505,1.051,0.00189343042319631,0.00726178010471204,0.5548,1,1,1
"PI4KA","x",8,0,0,0.624,0.819,1.214,0.00226154120359085,0.00834031413612565,0.579272727272727,0.683669880600902,0.690319371727749,0.996862068965517
"KIT","x",8,0,0,0.53,0.8965,1.076,0.00252737879074011,0.00916230366492147,0.583333333333333,1,1,1
"TRRAP","p",8,0,0,0.694,0.8575,1.02,0.00258489939546305,0.0103821989528796,0.610153846153846,1,1,1
"NRK","x",8,0,0,0.527,0.9675,1.364,0.00386815544930544,0.0152251308900524,0.782933333333333,0.269083266831047,0.395225130890052,0.982690690690691
"CDKL1","x",8,0,0,0.605,0.9905,1.331,0.003910859698159,0.0153717277486911,0.782933333333333,0.347592767241539,0.477670157068063,0.98748743718593
"IDNK","x",8,0,0,0.739,0.832,1.091,0.00456187286499649,0.0171361256544503,0.81825,1,1,1
"KDR","x",8,0,0,0.775,0.841,1.091,0.0056021677962393,0.0205130890052356,0.83925,1,1,1
"PKM","x",8,0,0,0.531,0.8875,1.159,0.00643964638006577,0.0231570680628272,0.83925,1,1,1
"TGFBR2","x",8,0,0,0.701,0.876,1.126,0.00683339783635143,0.0238586387434555,0.83925,1,1,1
"PRKACA","x",8,0,0,0.534,0.9835,1.324,0.00772321226461147,0.0267120418848168,0.83925,0.181434942351517,0.305680628272251,0.982690690690691
"STRADA","x",8,0,0,0.658,0.9115,1.369,0.00822400602586078,0.027869109947644,0.83925,0.250220315696109,0.375853403141361,0.982690690690691
"PFKL","x",8,0,0,0.709,0.957,1.227,0.00867546338195357,0.0287225130890052,0.83925,0.644420212244883,0.661151832460733,0.996862068965517
"CDK17","x",8,0,0,0.545,1.026,1.536,0.00895953137402774,0.0292408376963351,0.83925,0.0627832364316736,0.144267015706806,0.95125
"NEK3","x",8,0,0,0.642,0.853,1.335,0.00941474240335025,0.0310314136125654,0.83925,0.171470484442532,0.295293193717277,0.982690690690691
"DYRK2","x",8,0,0,0.557,0.862,1.075,0.0094304676550091,0.0310628272251309,0.83925,1,1,1
"TAF1","x",8,0,0,0.747,0.9445,1.245,0.00993846840513775,0.0320471204188482,0.83925,0.59339623703596,0.626816753926702,0.996862068965517
"STK11","x",8,0,0,0.656,0.908,1.183,0.0101591694559062,0.0324240837696335,0.83925,1,1,1
"EEF2K","x",8,0,0,0.546,0.8995,1.233,0.0102859919103169,0.0336492146596859,0.83925,0.629520561256375,0.650743455497382,0.996862068965517
"MAP4K2","x",8,0,0,0.733,0.923,1.039,0.0103079384373979,0.0336858638743456,0.83925,1,1,1
"CASK","x",8,0,0,0.746,0.8685,1.341,0.0104280602465316,0.0339214659685864,0.83925,0.318601485632619,0.447267015706806,0.98748743718593
"MAP3K15","x",8,0,0,0.677,1.1125,1.235,0.0110064281229726,0.0349895287958115,0.83925,0.620763549237838,0.644879581151832,0.996862068965517
"AGK","x",8,0,0,0.686,0.934,1.605,0.0111496989545991,0.035151832460733,0.83925,0.0405906564520245,0.104675392670157,0.947207920792079
"MAST1","x",8,0,0,0.55,0.844,0.934,0.0115652084833795,0.0369424083769634,0.855272727272727,1,1,1
"CKMT1A","x",8,0,0,0.593,0.927,1.205,0.0121876734357579,0.0380942408376963,0.856,0.710893061337423,0.713031413612565,0.996862068965517
"BRD4","x",8,0,0,0.675,0.8815,1.33,0.0132130372101973,0.0412879581151832,0.863142857142857,0.349368325903409,0.479586387434555,0.98748743718593
"PIK3R4","x",8,0,0,0.714,0.8805,1.158,0.013494313896822,0.0418324607329843,0.863142857142857,1,1,1
"PIP4K2B","x",8,0,0,0.553,1.034,1.427,0.014119302151164,0.0437958115183246,0.863142857142857,0.159409139158443,0.283633507853403,0.982690690690691
"CSNK1E","x",8,0,0,0.667,0.858,1.276,0.0142703322738663,0.044020942408377,0.863142857142857,0.50345647985358,0.573633507853403,0.991130044843049
"MAST3","x",8,0,0,0.76,0.8415,1.277,0.0145766500245743,0.0446492146596859,0.863142857142857,0.499945802054627,0.571874345549738,0.991130044843049
"TSSK2","n",8,0,0,0.566,0.955,1.201,0.014900671239982,0.0453926701570681,0.863142857142857,0.724137566817632,0.724753926701571,0.996862068965517
"CHKB","x",8,0,0,0.556,1.029,1.121,0.015394182050978,0.0473246073298429,0.863142857142857,1,1,1
"PSKH1","x",8,0,0,0.695,0.8565,1.297,0.0154578622247185,0.0474502617801047,0.863142857142857,0.362681969080563,0.494089005235602,0.98748743718593
"STK26","x",8,0,0,0.742,0.8995,1.158,0.0165598457903406,0.0494816753926702,0.879162790697674,1,1,1
"AKT2","x",8,0,0,0.559,0.869,1.28,0.0179396149866793,0.0541884816753927,0.910809523809524,0.490000096031744,0.566314136125654,0.991130044843049
"GRK7","x",8,0,0,0.637,1.1115,1.423,0.0186825220073992,0.0556282722513089,0.910809523809524,0.161173030983719,0.285026178010471,0.982690690690691
"IRAK4","x",8,0,0,0.69,1.0905,1.519,0.0188919882179567,0.0559581151832461,0.910809523809524,0.0809325978412822,0.175356020942408,0.963827338129496
"PXK","x",8,0,0,0.693,0.8555,1.342,0.0190434523269596,0.0562198952879581,0.910809523809524,0.295157284703009,0.422031413612565,0.982690690690691
"CAD","x",8,0,0,0.568,0.861,1.331,0.0197400905342128,0.0585497382198953,0.910809523809524,0.098356194635185,0.20544502617801,0.97916049382716
"PKN2","x",8,0,0,0.707,0.9935,1.261,0.0199168706982664,0.0588167539267016,0.910809523809524,0.552951159103352,0.601612565445026,0.996862068965517
"CLK3","x",8,0,0,0.775,0.8465,0.995,0.0216645671904769,0.0630942408376963,0.910809523809524,1,1,1
"DSTYK","x",8,0,0,0.658,0.952,1.329,0.022608040667507,0.0658743455497382,0.910809523809524,0.350254518565385,0.480628272251309,0.98748743718593
"EPHA1","x",8,0,0,0.717,0.9245,1.287,0.0229149392114487,0.0664240837696335,0.910809523809524,0.465122331446435,0.553486910994764,0.991130044843049
"TLK1","x",8,0,0,0.766,0.9295,1.245,0.0229765187231899,0.0664712041884817,0.910809523809524,0.596325382651299,0.628643979057592,0.996862068965517
"EPHA2","x",8,0,0,0.573,1.0305,1.353,0.0230132125547468,0.0675916230366492,0.910809523809524,0.0333954520486749,0.0908848167539267,0.947207920792079
"IPPK","x",8,0,0,0.666,0.875,1.073,0.0240802374577515,0.0695287958115183,0.910809523809524,1,1,1
"SLK","x",8,0,0,0.674,0.9355,1.106,0.0242217672870092,0.0698376963350785,0.910809523809524,1,1,1
"TRIB2","x",8,0,0,0.634,0.909,1.195,0.0242572762241038,0.0699685863874346,0.910809523809524,0.743598388691563,0.743041884816754,0.996862068965517
"ROCK2","x",8,0,0,0.577,1.0705,1.441,0.024278022527124,0.0709476439790576,0.910809523809524,0.147126746528352,0.271534031413613,0.982690690690691
"MAP3K9","x",8,0,0,0.674,0.9315,1.394,0.0245060882512401,0.0713769633507853,0.910809523809524,0.203836393013486,0.328534031413613,0.982690690690691
"ACTR2","p",8,0,0,0.68,0.8385,1.153,0.0251294871018752,0.0724816753926702,0.910809523809524,1,1,1
"CAMK2G","x",8,0,0,0.585,1.1425,1.288,0.0255413995192045,0.0743089005235602,0.910809523809524,0.356561597470799,0.487340314136126,0.98748743718593
"UCK1","x",8,0,0,0.587,1.057,1.24,0.0268033449227944,0.0774764397905759,0.910809523809524,0.387068087484203,0.512916230366492,0.98748743718593
"NOL9","p",8,0,0,0.742,0.9315,1.373,0.0274106626633222,0.078848167539267,0.910809523809524,0.0923753731571839,0.195010471204188,0.97916049382716
"MYT1","x",8,0,0,0.587,1.1005,1.29,0.0280638601285729,0.0809528795811518,0.910809523809524,0.132610023069699,0.25617277486911,0.982690690690691
"HK2","x",8,0,0,0.716,0.909,1.182,0.0285519820275824,0.0819057591623037,0.910809523809524,1,1,1
"RPS6KA3","x",8,0,0,0.7,1.012,1.282,0.0288237663292684,0.0823403141361257,0.910809523809524,0.316654470736142,0.444979057591623,0.98748743718593
"MAP3K1","x",8,0,0,0.645,0.846,1.462,0.02903650812698,0.082696335078534,0.910809523809524,0.0505157599249875,0.122424083769634,0.947207920792079
"KSR1","x",8,0,0,0.589,1.0205,1.159,0.0293229465260931,0.0840575916230367,0.910809523809524,1,1,1
"RPS6KA4","x",8,0,0,0.689,0.978,1.212,0.0293744384373588,0.0843193717277487,0.910809523809524,0.692523401352871,0.697523560209424,0.996862068965517
"PIM2","x",8,0,0,0.728,0.86,1.424,0.0295263450730293,0.0845287958115183,0.910809523809524,0.013423206356173,0.0416178010471204,0.947207920792079
"CSK","x",8,0,0,0.591,0.9355,1.078,0.0305806055037831,0.0872146596858639,0.910809523809524,1,1,1
"PFKFB3","x",8,0,0,0.778,0.8935,1.181,0.0311297501285125,0.0881937172774869,0.910809523809524,1,1,1
"MST1","x",8,0,0,0.768,0.8585,1.081,0.0318485751473732,0.090261780104712,0.910809523809524,1,1,1
"MAPK10","x",8,0,0,0.628,1.0635,1.4,0.0327235980441038,0.0914607329842932,0.910809523809524,0.191051163456986,0.315130890052356,0.982690690690691
"CALM1","x",8,0,0,0.694,1.04,1.527,0.0329897842704792,0.0919267015706806,0.910809523809524,0.0470898475832949,0.115968586387435,0.947207920792079
"MAPK6","x",8,0,0,0.595,1.0095,1.392,0.0330916467477625,0.0928115183246073,0.910809523809524,0.0258831219022765,0.0749633507853403,0.947207920792079
"PRKCE","x",8,0,0,0.718,0.917,1.216,0.0336938283661972,0.093717277486911,0.910809523809524,0.679875860705393,0.687356020942408,0.996862068965517
"EGFR","x",8,0,0,0.599,1.0415,1.15,0.0343450317852885,0.0956178010471204,0.910809523809524,1,1,1
"DCLK2","x",8,0,0,0.644,0.9095,1.399,0.0357005862405495,0.098282722513089,0.910809523809524,0.0012712982055331,0.00406806282722513,0.748
"NIM1K","x",8,0,0,0.683,1.0145,1.185,0.0361345311260516,0.0988010471204188,0.910809523809524,1,1,1
"PAN3","x",8,0,0,0.709,0.9635,1.267,0.0362902464152321,0.0991937172774869,0.910809523809524,0.182868511802327,0.306848167539267,0.982690690690691
"MOS","x",8,0,0,0.774,0.936,1.32,0.0366027968827505,0.0998010471204188,0.910809523809524,0.191036799881491,0.314596858638743,0.982690690690691
"NADK2","x",8,0,0,0.633,1.0255,1.608,0.0368095275746483,0.100015706806283,0.910809523809524,0.0355969949454583,0.0951832460732984,0.947207920792079
"CSNK1G1","x",8,0,0,0.699,0.9415,1.314,0.0375494090073502,0.101612565445026,0.913317647058824,0.386533945420412,0.512581151832461,0.98748743718593
"PLXNA3","x",8,0,0,0.728,0.9805,1.528,0.0381879524693193,0.103109947643979,0.916,0.0712915905390661,0.159125654450262,0.95125
"STK16","x",8,0,0,0.605,1.004,1.304,0.0393443669843561,0.10530890052356,0.916893617021277,0.188145378567352,0.312,0.982690690690691
"ATM","x",8,0,0,0.605,1,1.129,0.0405906564520245,0.107424083769634,0.916893617021277,1,1,1
"CDK3","x",8,0,0,0.786,0.869,1,0.0410149138068612,0.100141361256545,0.910809523809524,1,1,1
"PMVK","x",8,0,0,0.613,0.893,1.292,0.0410904923157177,0.108052356020942,0.916893617021277,0.446928332970364,0.543931937172775,0.989725118483412
"MAP3K11","x",8,0,0,0.673,0.902,1.066,0.0415626502513793,0.108492146596859,0.916893617021277,1,1,1
"ABL1","x",8,0,0,0.71,0.949,1.259,0.0424841514365213,0.110277486910995,0.916893617021277,0.343277280385551,0.473167539267016,0.98748743718593
