"GeneSymbol","Guide","Type","BaseMeanA","BaseMeanB","FoldChange","pvalue","padj"
"BRDT","BRDT-1","n",8,6,0.85,0.531440013268275,1
"BRDT","BRDT-2","n",13,6,0.613,0.0515665858780077,1
"BRDT","BRDT-3","n",10,10,0.996,0.985970227143952,1
"BRDT","BRDT-4","n",7,3,0.652,0.0994520635748122,1
"BRDT","BRDT-5","n",1,4,1.478,0.123888985314337,1
"BRDT","BRDT-6","n",3,6,1.383,0.21499027131876,1
"BRDT","BRDT-7","n",9,6,0.773,0.32331189287987,1
"BRDT","BRDT-8","n",5,9,1.393,0.202415030242632,1
"DGKK","DGKK-1","n",8,7,0.976,0.923931970411456,1
"DGKK","DGKK-2","n",5,3,0.816,0.438103824560845,1
"DGKK","DGKK-3","n",7,7,0.953,0.85162962730651,1
"DGKK","DGKK-4","n",6,6,1.045,0.866324266535874,1
"DGKK","DGKK-5","n",5,4,0.925,0.764911956570112,1
"DGKK","DGKK-6","n",10,11,1.077,0.769840498965471,1
"DGKK","DGKK-7","n",5,7,1.188,0.507521575098388,1
"DGKK","DGKK-8","n",6,7,1.093,0.732730884176735,1
"GK2","GK2-1","n",4,4,0.951,0.848654451551147,1
"GK2","GK2-2","n",6,7,1.067,0.804743027604885,1
"GK2","GK2-3","n",11,14,1.155,0.552282121904292,1
"GK2","GK2-4","n",10,9,0.955,0.856647068242022,1
"GK2","GK2-5","n",8,9,1.017,0.947707034910979,1
"GK2","GK2-6","n",4,6,1.227,0.435388124049552,1
"GK2","GK2-7","n",6,9,1.297,0.311170565284312,1
"GK2","GK2-8","n",8,7,0.975,0.920106122359466,1
"GUCY2F","GUCY2F-1","n",12,10,0.907,0.69740040946048,1
"GUCY2F","GUCY2F-2","n",6,8,1.168,0.553229604319755,1
"GUCY2F","GUCY2F-3","n",8,8,1.086,0.750653700943494,1
"GUCY2F","GUCY2F-4","n",5,5,0.916,0.738312618773487,1
"GUCY2F","GUCY2F-5","n",10,8,0.852,0.528943650116021,1
"GUCY2F","GUCY2F-6","n",5,5,1.041,0.879243235885053,1
"GUCY2F","GUCY2F-7","n",6,7,1.181,0.523734517970615,1
"GUCY2F","GUCY2F-8","n",6,6,0.981,0.942888086752566,1
"INSRR","INSRR-1","n",7,7,1.033,0.901321814951594,1
"INSRR","INSRR-2","n",7,8,1.036,0.891275040597923,1
