"GeneSymbol","Type","TotalGuides","HitsDown","HitsUp","MinFoldChange","MedianFoldChange","MaxFoldChange","rhoDepleted","pvalueDepleted","fdrDepleted","rhoEnriched","pvalueEnriched","fdrEnriched"
"PLK3","x",8,0,0,0.591,0.8535,1.158,0.000498976828128703,0.00176439790575916,0.541333333333333,1,1,1
"PRKCB","x",8,0,0,0.633,0.831,0.912,0.0005001328944609,0.00206282722513089,0.541333333333333,1,1,1
"CKS2","x",8,0,0,0.641,0.8085,1.125,0.000891490641965397,0.00345026178010471,0.541333333333333,1,1,1
"FGFRL1","x",8,0,0,0.621,0.8355,1.522,0.000930641637871718,0.00357068062827225,0.541333333333333,0.112827608441519,0.230785340314136,0.974720867208672
"PDGFRB","x",8,0,0,0.7,0.797,1.155,0.000977402851342567,0.00368586387434555,0.541333333333333,1,1,1
"CKS1B","x",8,0,0,0.696,0.806,1.186,0.00118864210009043,0.00425130890052356,0.541333333333333,1,1,1
"ACTR2","p",8,0,0,0.473,0.9365,1.202,0.00129084290533286,0.00579057591623037,0.546222222222222,0.765139256319443,0.767314136125654,0.984259319286872
"TAOK1","x",8,0,0,0.635,0.7875,1.178,0.00130378549316977,0.00582722513089005,0.546222222222222,1,1,1
"RPS6KA2","x",8,0,0,0.586,0.923,1.062,0.00160741814352699,0.00643455497382199,0.546222222222222,1,1,1
"GTF2H1","p",8,0,0,0.704,0.8425,1.275,0.00239956529310107,0.00907329842931937,0.664923076923077,0.334578568684217,0.469397905759162,0.974720867208672
"SRMS","x",8,0,0,0.48,0.9465,1.275,0.00258022758436415,0.0106125654450262,0.664923076923077,0.574816886509951,0.638287958115183,0.9806
"RPS6KA5","x",8,0,0,0.593,0.857,1.295,0.00261063630499473,0.0107068062827225,0.664923076923077,0.250920862808359,0.390424083769634,0.974720867208672
"COASY","x",8,0,0,0.696,0.8215,1.122,0.00279669084593343,0.0113141361256545,0.664923076923077,1,1,1
"MAPK14","x",8,0,0,0.725,1.003,1.783,0.00363173743907634,0.0137748691099476,0.725925925925926,0.0102859919103169,0.0353769633507853,0.974720867208672
"EPHA10","x",8,0,0,0.48,0.837,1.197,0.00386815544930544,0.0155706806282723,0.725925925925926,0.777219432189065,0.778057591623037,0.984259319286872
"DCLK2","x",8,0,0,0.568,0.927,1.498,0.00401324431306486,0.0160471204188482,0.725925925925926,0.132408971686131,0.261853403141361,0.974720867208672
"GNE","x",8,0,0,0.655,0.8665,1.256,0.00458060042796062,0.017455497382199,0.725925925925926,0.623519365766293,0.665769633507853,0.9806
"BRDT","n",8,0,0,0.613,0.923,1.478,0.00476491585042277,0.0180314136125654,0.725925925925926,0.00449041326456766,0.0170628272251309,0.974720867208672
