"GeneSymbol","Guide","Type","BaseMeanA","BaseMeanB","FoldChange","pvalue","padj"
"BRDT","BRDT-1","n",6,4,0.828,0.467678724880413,1
"BRDT","BRDT-2","n",6,9,1.259,0.363910824733039,1
"BRDT","BRDT-3","n",10,6,0.772,0.309919563308282,1
"BRDT","BRDT-4","n",3,2,0.945,0.826395285829058,1
"BRDT","BRDT-5","n",4,5,1.032,0.903883063076273,1
"BRDT","BRDT-6","n",6,5,0.897,0.67818124878098,1
"BRDT","BRDT-7","n",6,5,0.955,0.859594802386714,1
"BRDT","BRDT-8","n",9,8,0.951,0.846785736624725,1
"DGKK","DGKK-1","n",7,7,1.014,0.957185515861803,1
"DGKK","DGKK-2","n",3,6,1.311,0.300607150380494,1
"DGKK","DGKK-3","n",7,8,1.122,0.655760841569353,1
"DGKK","DGKK-4","n",6,6,0.95,0.84569192725263,1
"DGKK","DGKK-5","n",4,4,0.994,0.983101037287485,1
"DGKK","DGKK-6","n",11,8,0.834,0.473563162259448,1
"DGKK","DGKK-7","n",7,8,1.056,0.834564123030633,1
"DGKK","DGKK-8","n",7,4,0.732,0.232744437855096,1
"GK2","GK2-1","n",4,6,1.281,0.345102405706224,1
"GK2","GK2-2","n",7,5,0.909,0.715175646259571,1
"GK2","GK2-3","n",14,11,0.843,0.48062930795192,1
"GK2","GK2-4","n",9,7,0.867,0.577803513017272,1
"GK2","GK2-5","n",9,10,1.118,0.658181421431489,1
"GK2","GK2-6","n",6,5,0.881,0.627687480409739,1
"GK2","GK2-7","n",9,9,0.994,0.981124543802554,1
"GK2","GK2-8","n",7,12,1.336,0.252591275878396,1
"GUCY2F","GUCY2F-1","n",10,8,0.873,0.592876098473743,1
"GUCY2F","GUCY2F-2","n",8,6,0.87,0.593369442423545,1
"GUCY2F","GUCY2F-3","n",8,6,0.854,0.54436615760252,1
"GUCY2F","GUCY2F-4","n",5,4,0.944,0.827072332879433,1
"GUCY2F","GUCY2F-5","n",8,10,1.157,0.56771132578748,1
"GUCY2F","GUCY2F-6","n",5,4,0.877,0.616167956884541,1
"GUCY2F","GUCY2F-7","n",7,9,1.105,0.701841494943509,1
