GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
TVP23A,x,4,0,0,0.919,1.1275,1.294,1.0,1.0,1.0,0.3653651768613001,0.50883,1.0
TWF1,x,4,0,0,0.885,1.0659999999999998,1.171,1.0,1.0,1.0,1.0,1.0,1.0
TWIST1,x,4,0,1,0.922,1.2695,1.797,1.0,1.0,1.0,0.0712316871509843,0.16074000000000002,0.9144479464285716
TXK,x,4,0,0,0.86,1.2295,1.4469999999999998,1.0,1.0,1.0,0.106432924831346,0.22387,0.9594770394441955
TXLNB,x,4,0,0,0.967,1.047,1.235,1.0,1.0,1.0,0.7020786383545621,0.72301,1.0
TXLNG,x,4,0,0,0.948,1.0995,1.348,1.0,1.0,1.0,0.33394733548328603,0.47615,1.0
TXNDC16,x,4,0,0,0.949,1.252,1.406,1.0,1.0,1.0,0.127498645662938,0.25578,0.980198977159881
TXNDC2,x,4,0,2,0.898,1.413,1.619,1.0,1.0,1.0,0.0204374990800545,0.05991000000000001,0.7455596679687502
TXNDC5,x,4,0,0,0.892,1.0275,1.108,1.0,1.0,1.0,1.0,1.0,1.0
TXNIP,x,4,0,1,0.989,1.2405,1.496,1.0,1.0,1.0,0.129774431613562,0.25872,0.9808883640324816
TXNRD3,x,4,0,0,0.969,1.1755,1.231,1.0,1.0,1.0,0.31523458053605,0.4566,1.0
TXNRD3NB,x,4,0,1,1.119,1.217,1.51,1.0,1.0,1.0,0.0203167998111878,0.05973,0.7455596679687502
TYMP,x,4,0,0,0.947,1.065,1.168,1.0,1.0,1.0,0.395776766699247,0.53713,1.0
TYMSOS,x,4,0,1,1.037,1.271,1.798,1.0,1.0,1.0,0.0793887350125293,0.17638,0.9306717063818132
TYR,n,4,0,0,0.984,1.088,1.336,1.0,1.0,1.0,0.5527615363038759,0.63541,1.0
TYRP1,x,4,0,0,1.194,1.3105,1.444,1.0,1.0,1.0,0.00804935341464817,0.02705,0.6561545511221945
UBA7,x,4,0,0,0.883,0.9525,1.098,1.0,1.0,1.0,1.0,1.0,1.0
UBAC1,x,4,0,0,1.17,1.1995,1.534,1.0,1.0,1.0,0.0853356256747382,0.18774,0.9392999999999999
UBAC2,x,4,0,1,0.857,1.133,1.5490000000000002,1.0,1.0,1.0,0.26999317532517897,0.40893,1.0
UBAP2L,x,4,0,2,1.015,1.5365,3.264,1.0,1.0,1.0,0.0028379572032569108,0.01006,0.5650416422287391
UBD,x,4,0,0,0.884,1.265,1.496,1.0,1.0,1.0,0.0558466975628051,0.13205999999999998,0.8920782042253523
UBE2A,x,4,0,0,1.004,1.1035,1.321,1.0,1.0,1.0,0.34640068120019,0.48964,1.0
UBE2E2,x,4,0,0,1.11,1.1825,1.3969999999999998,1.0,1.0,1.0,0.106352613172597,0.2237,0.9592231157469717
UBE2J2,x,4,0,0,0.932,1.131,1.232,1.0,1.0,1.0,0.7055006918398421,0.72549,1.0
UBE2W,x,4,0,1,0.958,1.043,1.587,1.0,1.0,1.0,0.24608664247264805,0.38458,1.0
UBE3C,x,4,0,0,0.947,0.9945,1.43,1.0,1.0,1.0,0.420614309355414,0.55811,1.0
UBL4A,x,4,0,2,1.283,1.4495,1.615,1.0,1.0,1.0,0.0023594579535895803,0.00856,0.5581334935897436
UBLCP1,x,4,0,0,0.978,1.1375,1.4069999999999998,1.0,1.0,1.0,0.310781398205247,0.45173,1.0
