GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
RHOA,x,4,3,0,0.504,0.5645,0.758,0.00160844664012937,0.00547,0.07620922011661807,1.0,1.0,1.0
CENPN,x,4,3,0,0.269,0.395,1.195,0.00163334941942918,0.00554,0.07712825928623453,0.6985848252077839,0.72916,1.0
RTF2,x,4,3,0,0.12,0.3465,1.21,0.0016382724547459198,0.00556,0.07735036390101893,0.671156729176656,0.71245,1.0
NPLOC4,p,4,3,0,0.138,0.482,0.759,0.0016402092117311301,0.00558,0.07757214545454545,1.0,1.0,1.0
UBE3D,x,4,2,0,0.375,0.6515,0.76,0.00165160573947907,0.00561,0.07793252180232559,1.0,1.0,1.0
TOMM70,x,4,3,0,0.294,0.4305,0.901,0.00166635258680121,0.00569,0.07898645606390704,1.0,1.0,1.0
RSL24D1,x,4,3,0,0.188,0.3505,1.02,0.0016730049789132,0.0057,0.07906785195936139,1.0,1.0,1.0
HBS1L,x,4,2,0,0.618,0.688,0.76,0.00167414930287225,0.00572,0.07928774474256708,1.0,1.0,1.0
MRPL50,x,4,2,0,0.433,0.6655,0.7609999999999999,0.00168744166689927,0.00579,0.07996809971098266,1.0,1.0,1.0
HSPA14,x,4,2,0,0.402,0.624,0.7609999999999999,0.00168873221207488,0.00579,0.07996809971098266,1.0,1.0,1.0
ATP6AP2,x,4,3,0,0.11,0.39,0.919,0.0016905498734390199,0.00579,0.07996809971098266,1.0,1.0,1.0
MTX1,x,4,3,0,0.184,0.375,0.7609999999999999,0.00169131552303707,0.00579,0.07996809971098266,1.0,1.0,1.0
MRPL23,x,4,3,1,0.119,0.3955,1.839,0.0016913883244164599,0.00579,0.07996809971098266,0.0140783171097526,0.04678,0.7114274625689518
SYVN1,x,4,2,0,0.257,0.6795,0.7609999999999999,0.0016930393761504304,0.0058,0.08004837545126353,1.0,1.0,1.0
PHF12,x,4,3,1,0.15,0.371,1.471,0.00169642472681355,0.00581,0.08012853535353535,0.2058536859615,0.35433000000000003,1.0
UTP11,x,4,3,0,0.298,0.5555,0.762,0.00172254699347857,0.00585,0.08062202595529921,1.0,1.0,1.0
MTIF2,x,4,3,0,0.344,0.4315,0.955,0.001728549217199,0.00591,0.08139023775216138,1.0,1.0,1.0
DHPS,p,4,2,0,0.099,0.565,0.763,0.0017321756389991696,0.00592,0.0814309985632184,1.0,1.0,1.0
TARS2,x,4,3,0,0.098,0.4815,0.8270000000000001,0.0017404837927112,0.00593,0.0814309985632184,1.0,1.0,1.0
NUF2,p,4,3,0,0.199,0.4375,0.763,0.00174228505226086,0.00593,0.0814309985632184,1.0,1.0,1.0
RNF31,x,4,3,0,0.451,0.6659999999999999,0.764,0.0017475770615200301,0.00593,0.0814309985632184,1.0,1.0,1.0
UTP18,x,4,3,0,0.322,0.4745,0.818,0.00175247197479256,0.00598,0.0820586503948313,1.0,1.0,1.0
NCBP2,p,4,1,0,0.03,0.8735,1.164,0.0017550873961816801,0.00608,0.083371018651363,0.7533964616862209,0.76541,1.0
COA7,x,4,3,0,0.248,0.4305,1.339,0.00176020702148345,0.0061,0.08352542979942694,0.415865976221861,0.5584899999999999,1.0
HIST1H2BJ,x,4,2,0,0.104,0.423,0.848,0.00176060499330447,0.0061,0.08352542979942694,1.0,1.0,1.0
