partner_a,partner_b
SLC1A2,GRM7
SLC1A2,GRM8
SLC1A3,GRIA1
SLC1A3,GRIA2
SLC1A3,GRIA3
SLC1A3,GRIA4
SLC1A3,GRIK1
SLC1A3,GRIK2
SLC1A3,GRIK3
SLC1A3,GRM1
SLC1A3,GRM2
SLC1A3,GRM3
SLC1A3,GRM4
SLC1A3,GRM5
SLC1A3,GRM6
SLC1A3,GRM7
SLC1A3,GRM8
SLC1A6,GRIA1
SLC1A6,GRIA2
SLC1A6,GRIA3
SLC1A6,GRIA4
SLC1A6,GRIK1
SLC1A6,GRIK2
SLC1A6,GRIK3
SLC1A6,GRM1
SLC1A6,GRM2
SLC1A6,GRM3
SLC1A6,GRM4
SLC1A6,GRM5
SLC1A6,GRM6
SLC1A6,GRM7
SLC1A6,GRM8
SLC1A7,GRIA1
SLC1A7,GRIA2
SLC1A7,GRIA3
SLC1A7,GRIA4
SLC1A7,GRIK1
SLC1A7,GRIK2
SLC1A7,GRIK3
SLC1A7,GRM1
SLC1A7,GRM2
SLC1A7,GRM3
SLC1A7,GRM4
SLC1A7,GRM5
SLC1A7,GRM6
SLC1A7,GRM7
SLC1A7,GRM8
GLS2,GRIA1
GLS2,GRIA2
GLS2,GRIA3
GLS2,GRIA4
GLS2,GRIK1
GLS2,GRIK2
GLS2,GRIK3
GLS2,GRM1
GLS2,GRM2
GLS2,GRM3
GLS2,GRM4
GLS2,GRM5
GLS2,GRM6
GLS2,GRM7
GLS2,GRM8
SLC6A2,ADRA1A
SLC6A2,ADRA1B
SLC6A2,ADRA1D
SLC6A2,ADRA2A
SLC6A2,ADRA2B
SLC6A2,ADRA2C
SLC6A2,ADRB1
SLC6A2,ADRB2
SLC6A2,ADRB3
NRXN1,GRID2
CBLN1,GRID2
PTGDS,PTGDR
PTGDS,PTGDR2
FLRT3,ADGRL1
CGB1,LHCGR
CGB2,LHCGR
CGB3,LHCGR
CGB7,LHCGR
CHAT,CHRNA2
CHAT,CHRNB3
CHAT,CHRNA3
CHAT,CHRNB2
CHAT,CHRNA5
SLC10A4,CHRNA3
SLC10A4,CHRNB4
CHAT,CHRNB4
SLC18A3,CHRNA3
SLC18A3,CHRNB4
SLC5A7,CHRNA3
SLC5A7,CHRNB4
CHAT,CHRNA4
SLC10A4,CHRNA4
SLC10A4,CHRNB2
SLC18A3,CHRNA4
SLC18A3,CHRNB2
SLC5A7,CHRNA4
SLC5A7,CHRNB2
CHAT,CHRNA6
BMP10,ACVRL1
BMP10,ACVR2A
GDF2,ACVRL1
GDF2,ACVR2A
BMP10,BMPR2
GDF2,BMPR2
BMP5,ACVR1
BMP5,ACVR2A
BMP6,ACVR1
BMP6,ACVR2A
BMP7,ACVR1
BMP7,ACVR2A
BMP8A,ACVR1
BMP8A,ACVR2A
INHA,ACVR1
INHA,ACVR2A
INHBA,ACVR1
INHBA,ACVR2A
INHBB,ACVR1
INHBB,ACVR2A
BMP5,ACVR2B
BMP6,ACVR2B
BMP7,ACVR2B
BMP8A,ACVR2B
INHA,ACVR2B
INHBA,ACVR2B
INHBB,ACVR2B
GDF11,ACVR1B
GDF11,ACVR2A
INHA,ACVR1B
INHBA,ACVR1B
INHBB,ACVR1B
GDF1,ACVR1B
GDF1,ACVR2B
GDF10,ACVR1B
GDF10,ACVR2B
GDF11,ACVR2B
GDF3,ACVR1B
GDF3,ACVR2B
MSTN,ACVR1B
MSTN,ACVR2B
INHA,ACVR1C
INHBA,ACVR1C
INHBB,ACVR1C
BMP5,BMPR2
BMP6,BMPR2
BMP7,BMPR2
BMP8A,BMPR2
ADIPOQ,ADIPOR1
ADIPOQ,ADIPOR2
IAPP,RAMP1
IAPP,RAMP2
IAPP,RAMP3
LGALS9,BCR
LGALS9,PTPRC
LGALS9,CD22
FGF19,FGFR4
FGF19,KLB
FGF21,FGFR4
FGF21,KLB
BMP2,BMPR1A
BMP2,BMPR2
BMP4,BMPR1A
BMP4,BMPR2
BMP5,BMPR1A
BMP6,BMPR1A
BMP7,BMPR1A
BMP8A,BMPR1A
GDF6,BMPR1A
GDF6,BMPR2
GDF7,BMPR1A
GDF7,BMPR2
BMP15,BMPR1B
BMP15,BMPR2
BMP2,BMPR1B
BMP4,BMPR1B
BMP5,BMPR1B
BMP6,BMPR1B
BMP7,BMPR1B
BMP8A,BMPR1B
GDF5,BMPR1B
GDF5,BMPR2
GDF6,BMPR1B
GDF7,BMPR1B
GDF2,BMPR1B
GDF2,ACVR1B
BMP15,ACVR1B
BMP2,ACVR2A
BMP4,ACVR2A
GDF5,BMPR1A
GDF5,ACVR2A
GDF6,ACVR2A
GDF7,ACVR2A
BMP2,ACVR2B
BMP4,ACVR2B
GDF5,ACVR2B
GDF7,ACVR2B
GDF6,ACVR2B
HSD3B1,CATSPER1
HSD3B1,CATSPERD
HSD3B1,CATSPER2
HSD3B1,CATSPER3
HSD3B1,CATSPER4
LCK,CD8A
LCK,CD8B
HLA-E,KLRD1
HLA-E,KLRC3
CLCF1,CNTFR
CLCF1,LIFR
CLCF1,IL6ST
CNTF,CNTFR
CNTF,LIFR
CNTF,IL6ST
APOA1,CUBN
ALB,B2M
ALB,FCGRT
WNT1,RYK
WNT1,FZD8
WNT3,RYK
WNT3,FZD8
WNT3A,RYK
WNT3A,FZD8
WNT5A,RYK
WNT5A,FZD8
PGF,KDR
VEGFB,KDR
WNT10A,LRP5
WNT10A,FZD1
WNT1,LRP5
WNT1,FZD1
WNT11,LRP5
WNT11,FZD1
WNT16,LRP5
WNT16,FZD1
WNT2,LRP5
WNT2,FZD1
WNT2B,LRP5
WNT2B,FZD1
WNT3,LRP5
WNT3,FZD1
WNT3A,LRP5
WNT3A,FZD1
WNT4,LRP5
WNT4,FZD1
WNT5B,LRP5
WNT5B,FZD1
WNT6,LRP5
WNT6,FZD1
WNT7A,LRP5
WNT7A,FZD1
WNT7B,LRP5
WNT7B,FZD1
WNT8A,LRP5
WNT8A,FZD1
WNT8B,LRP5
WNT8B,FZD1
WNT9A,LRP5
WNT9A,FZD1
WNT9B,LRP5
WNT9B,FZD1
WNT10A,LRP6
WNT1,LRP6
WNT11,LRP6
WNT16,LRP6
WNT2,LRP6
WNT2B,LRP6
WNT3,LRP6
WNT3A,LRP6
WNT4,LRP6
WNT5B,LRP6
WNT6,LRP6
WNT7A,LRP6
WNT7B,LRP6
WNT8A,LRP6
WNT8B,LRP6
WNT9A,LRP6
WNT9B,LRP6
WNT1,FZD10
WNT11,FZD10
WNT16,FZD10
WNT2,FZD10
WNT2B,FZD10
WNT3,FZD10
WNT3A,FZD10
WNT4,FZD10
WNT5A,LRP5
WNT5A,FZD10
WNT5B,FZD10
WNT6,FZD10
WNT7A,FZD10
WNT7B,FZD10
WNT8A,FZD10
WNT8B,FZD10
WNT9A,FZD10
WNT9B,FZD10
WNT5A,LRP6
WNT1,FZD2
WNT11,FZD2
WNT16,FZD2
WNT2,FZD2
WNT2B,FZD2
WNT3,FZD2
WNT3A,FZD2
WNT4,FZD2
WNT5A,FZD2
WNT5B,FZD2
WNT6,FZD2
WNT7A,FZD2
WNT7B,FZD2
WNT8A,FZD2
WNT8B,FZD2
WNT9A,FZD2
WNT9B,FZD2
WNT1,FZD3
WNT11,FZD3
WNT16,FZD3
WNT2,FZD3
WNT2B,FZD3
WNT3,FZD3
WNT3A,FZD3
WNT4,FZD3
WNT5A,FZD3
WNT5B,FZD3
WNT6,FZD3
WNT7A,FZD3
WNT7B,FZD3
WNT8A,FZD3
WNT8B,FZD3
WNT9A,FZD3
WNT9B,FZD3
NDP,LRP5
NDP,FZD4
WNT1,FZD4
WNT11,FZD4
WNT16,FZD4
WNT2,FZD4
WNT2B,FZD4
WNT3,FZD4
WNT3A,FZD4
WNT4,FZD4
WNT5A,FZD4
WNT5B,FZD4
WNT6,FZD4
WNT7A,FZD4
WNT7B,FZD4
WNT8A,FZD4
WNT8B,FZD4
WNT9A,FZD4
WNT9B,FZD4
WNT10A,FZD5
WNT1,FZD5
WNT11,FZD5
WNT16,FZD5
WNT2,FZD5
WNT2B,FZD5
WNT3,FZD5
WNT3A,FZD5
WNT4,FZD5
WNT5A,FZD5
WNT5B,FZD5
WNT6,FZD5
WNT7A,FZD5
WNT7B,FZD5
WNT8A,FZD5
WNT8B,FZD5
WNT9A,FZD5
WNT9B,FZD5
WNT1,FZD6
WNT11,FZD6
WNT16,FZD6
WNT2,FZD6
WNT2B,FZD6
WNT3,FZD6
WNT3A,FZD6
WNT4,FZD6
WNT5A,FZD6
WNT5B,FZD6
WNT6,FZD6
WNT7A,FZD6
WNT7B,FZD6
WNT8A,FZD6
WNT8B,FZD6
WNT9A,FZD6
WNT9B,FZD6
WNT10A,FZD7
WNT1,FZD7
WNT11,FZD7
WNT16,FZD7
WNT2,FZD7
WNT2B,FZD7
WNT3,FZD7
WNT3A,FZD7
WNT4,FZD7
WNT5A,FZD7
WNT5B,FZD7
WNT6,FZD7
WNT7A,FZD7
WNT7B,FZD7
WNT8A,FZD7
WNT8B,FZD7
WNT9A,FZD7
WNT9B,FZD7
WNT10A,FZD8
WNT11,FZD8
WNT16,FZD8
WNT2,FZD8
WNT2B,FZD8
WNT4,FZD8
WNT5B,FZD8
WNT6,FZD8
WNT7A,FZD8
WNT7B,FZD8
WNT8A,FZD8
WNT8B,FZD8
WNT9A,FZD8
WNT9B,FZD8
RSPO1,LRP6
RSPO1,FZD8
WNT1,FZD9
WNT11,FZD9
WNT16,FZD9
WNT2,FZD9
WNT2B,FZD9
WNT3,FZD9
WNT3A,FZD9
WNT4,FZD9
WNT5A,FZD9
WNT5B,FZD9
WNT6,FZD9
WNT7A,FZD9
WNT7B,FZD9
WNT8A,FZD9
WNT8B,FZD9
WNT9A,FZD9
WNT9B,FZD9
GAL,GPR151
GALP,GPR151
SPX,GALR2
SPX,GPR151
SPX,GALR3
F2,GP1BA
F2,GP1BB
VWF,GP1BA
VWF,GP1BB
CSF2,CSF2RB
CSF2,CSF2RA
IGF1,GPC3
IL1A,IL1R1
IL1A,IL1RAP
IL1B,IL1R1
IL1B,IL1RAP
IL1RN,IL1R1
IL1RN,IL1RAP
IL1A,IL1R2
IL1B,IL1R2
IL1RN,IL1R2
IL10,IL10RA
IL10,IL10RB
IL11,IL11RA
IL11,IL6ST
IL12A,IL12RB1
IL12A,IL12RB2
IL12B,IL12RB1
IL12B,IL12RB2
IL13,IL13RA1
IL13,IL4R
IL4,IL13RA1
IL4,IL4R
IL15,IL15RA
IL15,IL2RB
IL25,IL17RA
IL25,IL17RB
IL17F,IL17RA
IL17F,IL17RC
IL17A,IL17RA
IL17A,IL17RC
IL17C,IL17RA
IL17C,IL17RE
IL18,IL18R1
IL18,IL18RAP
IL2,IL2RA
IL2,IL2RB
IL2,IL2RG
IL19,IL20RA
IL19,IL20RB
IL20,IL20RA
IL20,IL20RB
IL24,IL20RA
IL24,IL20RB
IL20,IL22RA1
IL24,IL22RA1
IL21,IL21R
IL21,IL2RG
IL22,IL22RA1
IL22,IL10RB
IL12B,IL23R
IL23A,IL12RB1
IL23A,IL23R
IL26,IL20RA
IL26,IL10RB
EBI3,IL27RA
EBI3,IL6ST
IL27,IL27RA
IL27,IL6ST
IFNL3,IFNLR1
IFNL3,IL10RB
IL3,CSF2RB
IL3,IL3RA
IL33,IL1RL1
IL33,IL1RAP
EBI3,IL12RB2
IL12A,IL6ST
IL36RN,IL1RL2
IL36RN,IL1RAP
IL1F10,IL1RL2
IL1F10,IL1RAP
IL36A,IL1RL2
IL36A,IL1RAP
IL36B,IL1RL2
IL36B,IL1RAP
IL36G,IL1RL2
IL36G,IL1RAP
IL37,IL18R1
IL37,SIGIRR
IL4,IL2RG
IL5,CSF2RB
IL5,IL5RA
IL6,IL6R
IL6,IL6ST
IL7,IL7R
IL7,IL2RG
IL9,IL9R
IL9,IL2RG
COL1A1,ITGB1
COL1A1,ITGA10
COL1A2,ITGB1
COL1A2,ITGA10
COL2A1,ITGB1
COL2A1,ITGA10
COL3A1,ITGB1
COL3A1,ITGA10
COL4A1,ITGB1
COL4A1,ITGA10
COL4A2,ITGB1
COL4A2,ITGA10
COL4A3,ITGB1
COL4A3,ITGA10
COL4A4,ITGB1
COL4A4,ITGA10
COL4A5,ITGB1
COL4A5,ITGA10
COL4A6,ITGB1
COL4A6,ITGA10
COL5A1,ITGB1
COL5A1,ITGA10
COL5A2,ITGB1
COL5A2,ITGA10
COL5A3,ITGB1
COL5A3,ITGA10
COL6A1,ITGB1
COL6A1,ITGA10
COL6A2,ITGB1
COL6A2,ITGA10
COL6A3,ITGB1
COL6A3,ITGA10
COL6A5,ITGB1
COL6A5,ITGA10
COL6A6,ITGB1
COL6A6,ITGA10
COL7A1,ITGB1
COL7A1,ITGA10
COL8A1,ITGB1
COL8A1,ITGA10
COL8A2,ITGB1
COL8A2,ITGA10
COL9A1,ITGB1
COL9A1,ITGA10
COL9A2,ITGB1
COL9A2,ITGA10
COL9A3,ITGB1
COL9A3,ITGA10
COL10A1,ITGB1
COL10A1,ITGA10
COL11A1,ITGB1
COL11A1,ITGA10
COL11A2,ITGB1
COL11A2,ITGA10
COL12A1,ITGB1
COL12A1,ITGA10
COL13A1,ITGB1
COL13A1,ITGA10
COL14A1,ITGB1
COL14A1,ITGA10
COL15A1,ITGB1
COL15A1,ITGA10
COL16A1,ITGB1
COL16A1,ITGA10
COL17A1,ITGB1
COL17A1,ITGA10
COL18A1,ITGB1
COL18A1,ITGA10
COL19A1,ITGB1
COL19A1,ITGA10
COL20A1,ITGB1
COL20A1,ITGA10
COL21A1,ITGB1
COL21A1,ITGA10
COL22A1,ITGB1
COL22A1,ITGA10
COL24A1,ITGB1
COL24A1,ITGA10
COL26A1,ITGB1
COL26A1,ITGA10
COL27A1,ITGB1
COL27A1,ITGA10
COL28A1,ITGB1
COL28A1,ITGA10
FN1,ITGB1
FN1,ITGA10
COL1A1,ITGA11
COL1A2,ITGA11
COL2A1,ITGA11
COL3A1,ITGA11
COL4A1,ITGA11
COL4A2,ITGA11
COL4A3,ITGA11
COL4A4,ITGA11
COL4A5,ITGA11
COL4A6,ITGA11
COL5A1,ITGA11
COL5A2,ITGA11
COL5A3,ITGA11
COL6A1,ITGA11
COL6A2,ITGA11
COL6A3,ITGA11
COL6A5,ITGA11
COL6A6,ITGA11
COL7A1,ITGA11
COL8A1,ITGA11
COL8A2,ITGA11
COL9A1,ITGA11
COL9A2,ITGA11
COL9A3,ITGA11
COL10A1,ITGA11
COL11A1,ITGA11
COL11A2,ITGA11
COL12A1,ITGA11
COL13A1,ITGA11
COL14A1,ITGA11
COL15A1,ITGA11
COL16A1,ITGA11
COL17A1,ITGA11
COL18A1,ITGA11
COL19A1,ITGA11
COL20A1,ITGA11
COL21A1,ITGA11
COL22A1,ITGA11
COL24A1,ITGA11
COL26A1,ITGA11
COL27A1,ITGA11
COL28A1,ITGA11
FN1,ITGA11
COL1A1,ITGA1
COL1A2,ITGA1
COL2A1,ITGA1
COL3A1,ITGA1
COL4A1,ITGA1
COL4A2,ITGA1
COL4A3,ITGA1
COL4A4,ITGA1
COL4A5,ITGA1
COL4A6,ITGA1
COL5A1,ITGA1
COL5A2,ITGA1
COL5A3,ITGA1
COL6A1,ITGA1
COL6A2,ITGA1
COL6A3,ITGA1
COL6A5,ITGA1
COL6A6,ITGA1
COL7A1,ITGA1
COL8A1,ITGA1
COL8A2,ITGA1
COL9A1,ITGA1
COL9A2,ITGA1
COL9A3,ITGA1
COL10A1,ITGA1
COL11A1,ITGA1
COL11A2,ITGA1
COL12A1,ITGA1
COL13A1,ITGA1
COL14A1,ITGA1
COL15A1,ITGA1
COL16A1,ITGA1
COL17A1,ITGA1
COL18A1,ITGA1
COL19A1,ITGA1
COL20A1,ITGA1
COL21A1,ITGA1
COL22A1,ITGA1
COL24A1,ITGA1
COL26A1,ITGA1
COL27A1,ITGA1
COL28A1,ITGA1
SEMA7A,ITGB1
SEMA7A,ITGA1
CDH1,ITGB1
CDH1,ITGA2
COL1A1,ITGA2
COL1A2,ITGA2
COL2A1,ITGA2
COL3A1,ITGA2
COL4A1,ITGA2
COL4A2,ITGA2
COL4A3,ITGA2
COL4A4,ITGA2
COL4A5,ITGA2
COL4A6,ITGA2
COL5A1,ITGA2
COL5A2,ITGA2
COL5A3,ITGA2
COL6A1,ITGA2
COL6A2,ITGA2
COL6A3,ITGA2
COL6A5,ITGA2
COL6A6,ITGA2
COL7A1,ITGA2
COL8A1,ITGA2
COL8A2,ITGA2
COL9A1,ITGA2
COL9A2,ITGA2
COL9A3,ITGA2
COL10A1,ITGA2
COL11A1,ITGA2
COL11A2,ITGA2
COL12A1,ITGA2
COL13A1,ITGA2
COL14A1,ITGA2
COL15A1,ITGA2
COL16A1,ITGA2
COL17A1,ITGA2
COL18A1,ITGA2
COL19A1,ITGA2
COL20A1,ITGA2
COL21A1,ITGA2
COL22A1,ITGA2
COL24A1,ITGA2
COL26A1,ITGA2
COL27A1,ITGA2
COL28A1,ITGA2
FN1,ITGA2
LAMC1,ITGB1
LAMC1,ITGA2
CD40LG,ITGA2B
CD40LG,ITGB3
FN1,ITGA2B
FN1,ITGB3
L1CAM,ITGA2B
L1CAM,ITGB3
PLG,ITGA2B
PLG,ITGB3
F2,ITGA2B
F2,ITGB3
THBS1,ITGA2B
THBS1,ITGB3
VTN,ITGA2B
VTN,ITGB3
FGA,ITGA2B
FGA,ITGB3
FGG,ITGA2B
FGG,ITGB3
FGB,ITGA2B
FGB,ITGB3
CSPG4,ITGB1
CSPG4,ITGA3
FN1,ITGA3
LAMA3,ITGB1
LAMA3,ITGA3
THBS1,ITGB1
THBS1,ITGA3
FN1,ITGA4
JAM2,ITGB1
JAM2,ITGA4
SPP1,ITGB1
SPP1,ITGA4
PLA2G2A,ITGB1
PLA2G2A,ITGA4
TNC,ITGB1
TNC,ITGA4
PLAUR,ITGB1
PLAUR,ITGA4
VCAM1,ITGB1
VCAM1,ITGA4
FN1,ITGB7
MADCAM1,ITGB7
MADCAM1,ITGA4
VCAM1,ITGB7
CD40LG,ITGB1
CD40LG,ITGA5
FBN1,ITGB1
FBN1,ITGA5
FN1,ITGA5
L1CAM,ITGB1
L1CAM,ITGA5
PLA2G2A,ITGA5
LAMC1,ITGA6
IGF1,ITGB4
IGF1,ITGA6
NRG1,ITGB4
NRG1,ITGA6
LAMC1,ITGA7
FN1,ITGA8
TNC,ITGA8
L1CAM,ITGA9
SPP1,ITGA9
TNC,ITGA9
VCAM1,ITGA9
ICAM3,ITGB2
ICAM3,ITGAD
VCAM1,ITGB2
VCAM1,ITGAD
CDH1,ITGB7
CDH1,ITGAE
ICAM1,ITGB2
ICAM2,ITGB2
ICAM2,ITGAL
ICAM3,ITGAL
ICAM4,ITGB2
ICAM4,ITGAL
F11R,ITGB2
F11R,ITGAL
C3,ITGB2
C3,ITGAM
F10,ITGB2
F10,ITGAM
FCER2,ITGB2
FCER2,ITGAM
GP1BA,ITGB2
GP1BA,ITGAM
ICAM1,ITGAM
JAM3,ITGB2
JAM3,ITGAM
THY1,ITGB2
THY1,ITGAM
FGA,ITGB2
FGA,ITGAM
FGG,ITGB2
FGG,ITGAM
FGB,ITGB2
FGB,ITGAM
FN1,ITGAV
L1CAM,ITGAV
VTN,ITGB1
VTN,ITGAV
FCER2,ITGAV
FCER2,ITGB3
FGF1,ITGAV
FGF1,ITGB3
FGF2,ITGAV
FGF2,ITGB3
IGF1,ITGAV
IGF1,ITGB3
LAMC1,ITGAV
LAMC1,ITGB3
MMP2,ITGAV
MMP2,ITGB3
OMD,ITGAV
OMD,ITGB3
SPP1,ITGAV
SPP1,ITGB3
TNC,ITGAV
TNC,ITGB3
F2,ITGAV
THY1,ITGAV
THY1,ITGB3
THBS1,ITGAV
PLAUR,ITGAV
PLAUR,ITGB3
VWF,ITGAV
VWF,ITGB3
FN1,ITGB5
TNC,ITGB6
TGFB1,ITGAV
TGFB1,ITGB6
TGFB3,ITGAV
TGFB3,ITGB6
TGFB3,ITGB8
FCER2,ITGAX
ICAM1,ITGAX
THY1,ITGAX
FGA,ITGAX
FGG,ITGAX
FGB,ITGAX
FGF23,FGFR1
FGF23,KL
LIF,LIFR
LIF,IL6ST
OSM,LIFR
OSM,IL6ST
AGRN,MUSK
AGRN,LRP4
AMH,AMHR2
AMH,BMPR1A
AMH,BMPR1B
AMH,ACVR1
MICA,KLRK1
MICA,HCST
MICB,KLRK1
MICB,HCST
ULBP1,KLRK1
ULBP1,HCST
ULBP2,KLRK1
ULBP2,HCST
ULBP3,KLRK1
ULBP3,HCST
RAET1E,KLRK1
RAET1E,HCST
RAET1G,KLRK1
RAET1G,HCST
RAET1L,KLRK1
RAET1L,HCST
NODAL,ACVR1B
NODAL,ACVR2A
NODAL,CFC1
NODAL,TDGF1
NODAL,ACVR2B
NODAL,ACVR1C
OSM,OSMR
PDGFD,PDGFRA
SEMA6D,PLXNA1
SEMA6D,KDR
SEMA6D,TREM2
SEMA6D,TYROBP
SEMA3A,PLXNA1
SEMA3A,PLXNA2
SEMA6A,NRP1
SEMA6A,PLXNA2
SEMA3A,PLXNA3
SEMA3A,PLXNA4
DHH,BOC
IHH,BOC
SHH,BOC
DHH,CDON
IHH,CDON
SHH,CDON
DHH,GAS1
IHH,GAS1
SHH,GAS1
CALCA,CALCRL
CALCA,RAMP1
CALCB,CALCRL
CALCB,RAMP1
ADM2,CALCRL
ADM2,RAMP2
ADM2,RAMP3
ADM2,GPER1
ADM,CALCRL
ADM,GPER1
ARTN,RET
ARTN,GFRA1
GDNF,RET
GDNF,GFRA1
NRTN,RET
NRTN,GFRA2
ARTN,GFRA3
PSPN,RET
PSPN,GFRA4
CD47,SIRPB1
CD47,TYROBP
NXNL1,BSG
NXNL1,SLC16A1
TGFB1,TGFBR1
TGFB1,TGFBR2
TGFB2,TGFBR1
TGFB2,TGFBR2
TGFB3,TGFBR1
TGFB3,TGFBR2
TGFB1,ACVR1
TGFB2,ACVR1
TGFB3,ACVR1
GDF11,TGFBR1
MSTN,TGFBR1
MSTN,ACVR2A
GDF9,TGFBR1
GDF9,BMPR2
APP,TREM2
APP,TYROBP
APOA1,TREM2
APOA1,TYROBP
APOA2,TREM2
APOA2,TYROBP
APOB,TREM2
APOB,TYROBP
APOE,TREM2
APOE,TYROBP
CLU,TREM2
CLU,TYROBP
CRLF2,IL7R
CRLF2,CRLF2
TSLP,IL7R
TSLP,CRLF2
IFNA10,IFNAR1
IFNA10,IFNAR2
IFNA14,IFNAR1
IFNA14,IFNAR2
IFNA16,IFNAR1
IFNA16,IFNAR2
IFNA17,IFNAR1
IFNA17,IFNAR2
IFNA21,IFNAR1
IFNA21,IFNAR2
IFNA1,IFNAR1
IFNA1,IFNAR2
IFNA2,IFNAR1
IFNA2,IFNAR2
IFNA4,IFNAR1
IFNA4,IFNAR2
IFNA5,IFNAR1
IFNA5,IFNAR2
IFNA6,IFNAR1
IFNA6,IFNAR2
IFNA7,IFNAR1
IFNA7,IFNAR2
IFNA8,IFNAR1
IFNA8,IFNAR2
IFNB1,IFNAR1
IFNB1,IFNAR2
IFNE,IFNAR1
IFNE,IFNAR2
IFNK,IFNAR1
IFNK,IFNAR2
IFNW1,IFNAR1
IFNW1,IFNAR2
IFNG,IFNGR1
IFNG,IFNGR2
IFNL1,IL10RB
IFNL1,IFNLR1
IFNL2,IL10RB
IFNL2,IFNLR1
TPH1,HTR3A
TPH1,HTR3B
TPH1,HTR3C
TPH1,HTR3D
TPH1,HTR3E
SLC6A4,HTR3A
SLC6A4,HTR3B
SLC6A4,HTR3C
SLC6A4,HTR3D
SLC6A4,HTR3E
SLC18A1,HTR3A
SLC18A1,HTR3B
SLC18A1,HTR3C
SLC18A1,HTR3D
SLC18A1,HTR3E
SLC18A2,HTR3A
SLC18A2,HTR3B
SLC18A2,HTR3C
SLC18A2,HTR3D
SLC18A2,HTR3E
TPH2,HTR3A
TPH2,HTR3B
TPH2,HTR3C
TPH2,HTR3D
TPH2,HTR3E
SLC32A1,GABRA1
SLC32A1,GABRB2
GAD1,GABRA1
GAD1,GABRB2
SLC6A1,GABRA1
SLC6A1,GABRB2
SLC6A11,GABRA1
SLC6A11,GABRB2
SLC6A12,GABRA1
SLC6A12,GABRB2
SLC6A13,GABRA1
SLC6A13,GABRB2
SLC6A6,GABRA1
SLC6A6,GABRB2
SLC6A8,GABRA1
SLC6A8,GABRB2
GAD2,GABRA1
GAD2,GABRB2
SLC32A1,GABRG2
GAD1,GABRG2
SLC6A1,GABRG2
SLC6A11,GABRG2
SLC6A12,GABRG2
SLC6A13,GABRG2
SLC6A6,GABRG2
SLC6A8,GABRG2
GAD2,GABRG2
SLC32A1,GABRD
GAD1,GABRD
SLC6A1,GABRD
SLC6A11,GABRD
SLC6A12,GABRD
SLC6A13,GABRD
SLC6A6,GABRD
SLC6A8,GABRD
GAD2,GABRD
SLC32A1,GABRB3
GAD1,GABRB3
SLC6A1,GABRB3
SLC6A11,GABRB3
SLC6A12,GABRB3
SLC6A13,GABRB3
SLC6A6,GABRB3
SLC6A8,GABRB3
GAD2,GABRB3
SLC32A1,GABRA2
GAD1,GABRA2
SLC6A1,GABRA2
SLC6A11,GABRA2
SLC6A12,GABRA2
SLC6A13,GABRA2
SLC6A6,GABRA2
SLC6A8,GABRA2
GAD2,GABRA2
SLC32A1,GABRA3
GAD1,GABRA3
SLC6A1,GABRA3
SLC6A11,GABRA3
SLC6A12,GABRA3
SLC6A13,GABRA3
SLC6A6,GABRA3
SLC6A8,GABRA3
GAD2,GABRA3
SLC32A1,GABRE
GAD1,GABRE
SLC6A1,GABRE
SLC6A11,GABRE
SLC6A12,GABRE
SLC6A13,GABRE
SLC6A6,GABRE
SLC6A8,GABRE
GAD2,GABRE
SLC32A1,GABRQ
GAD1,GABRQ
SLC6A1,GABRQ
SLC6A11,GABRQ
SLC6A12,GABRQ
SLC6A13,GABRQ
SLC6A6,GABRQ
SLC6A8,GABRQ
GAD2,GABRQ
SLC32A1,GABRA4
GAD1,GABRA4
SLC6A1,GABRA4
SLC6A11,GABRA4
SLC6A12,GABRA4
SLC6A13,GABRA4
SLC6A6,GABRA4
SLC6A8,GABRA4
GAD2,GABRA4
SLC32A1,GABRA5
GAD1,GABRA5
SLC6A1,GABRA5
SLC6A11,GABRA5
SLC6A12,GABRA5
SLC6A13,GABRA5
SLC6A6,GABRA5
SLC6A8,GABRA5
GAD2,GABRA5
SLC32A1,GABRA6
GAD1,GABRA6
SLC6A1,GABRA6
SLC6A11,GABRA6
SLC6A12,GABRA6
SLC6A13,GABRA6
SLC6A6,GABRA6
SLC6A8,GABRA6
GAD2,GABRA6
SLC17A6,GRIK4
GLS,GRIK4
SLC17A7,GRIK4
SLC17A8,GRIK4
SLC1A1,GRIK4
SLC1A2,GRIK4
SLC1A3,GRIK4
SLC1A6,GRIK4
SLC1A7,GRIK4
GLS2,GRIK4
SLC17A6,GRIK5
GLS,GRIK5
SLC17A7,GRIK5
SLC17A8,GRIK5
SLC1A1,GRIK5
SLC1A2,GRIK5
SLC1A3,GRIK5
SLC1A6,GRIK5
SLC1A7,GRIK5
GLS2,GRIK5
SLC17A6,GRIN1
SLC17A6,GRIN2A
GLS,GRIN1
GLS,GRIN2A
SLC17A7,GRIN1
SLC17A7,GRIN2A
SLC17A8,GRIN1
SLC17A8,GRIN2A
SLC1A1,GRIN1
SLC1A1,GRIN2A
SLC1A2,GRIN1
SLC1A2,GRIN2A
SLC1A3,GRIN1
SLC1A3,GRIN2A
SLC1A6,GRIN1
SLC1A6,GRIN2A
SLC1A7,GRIN1
SLC1A7,GRIN2A
GLS2,GRIN1
GLS2,GRIN2A
SLC17A6,GRIN2B
GLS,GRIN2B
SLC17A7,GRIN2B
SLC17A8,GRIN2B
SLC1A1,GRIN2B
