GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
PDE11A,x,4,0,0,0.943,1.218,1.314,1.0,1.0,1.0,0.311747729557049,0.4648600000000001,1.0
PDE1A,x,4,0,3,0.838,1.6355,1.73,1.0,1.0,1.0,0.009078752202607341,0.03005,0.6268177813163481
PDE1C,x,4,0,0,0.8959999999999999,1.1055,1.644,1.0,1.0,1.0,0.3523391020018329,0.503,1.0
PDE3A,x,4,0,0,0.994,1.266,1.489,1.0,1.0,1.0,0.189757406169456,0.34572,0.9855540282948624
PDE3B,x,4,0,0,0.8640000000000001,1.008,1.769,1.0,1.0,1.0,0.246880383826054,0.40251,1.0
PDE4B,x,4,0,2,1.128,1.6305,2.315,1.0,1.0,1.0,0.00737791687635366,0.02456,0.6096261294261295
PDE5A,x,4,0,2,1.154,1.707,2.849,1.0,1.0,1.0,0.00426739267120981,0.01474,0.5935710526315789
PDE6B,x,4,0,2,0.934,1.3675,1.982,1.0,1.0,1.0,0.0765902316879252,0.17567,0.883433846356222
PDE6D,x,4,0,2,0.8270000000000001,1.5315,1.816,1.0,1.0,1.0,0.0224247458252626,0.06752999999999999,0.6989813432835821
PDE7B,x,4,0,0,0.953,1.1185,1.594,1.0,1.0,1.0,0.356865365822801,0.50726,1.0
PDE8A,x,4,0,1,1.05,1.2435,1.746,1.0,1.0,1.0,0.17335652244807906,0.32647,0.9787443616687578
PDE9A,x,4,0,0,0.8909999999999999,1.1635,1.487,1.0,1.0,1.0,0.261533534732846,0.41704,1.0
PDF,x,4,0,1,1.024,1.1815,1.596,1.0,1.0,1.0,0.399369157118362,0.54798,1.0
PDGFD,x,4,0,1,1.025,1.1135,1.526,1.0,1.0,1.0,0.4495582620978541,0.59345,1.0
PDGFRL,x,4,0,1,1.025,1.176,2.542,1.0,1.0,1.0,0.0216713597794965,0.06573999999999999,0.6987994733924612
PDHX,x,4,0,2,1.107,1.4780000000000002,2.41,1.0,1.0,1.0,0.032499968137487005,0.09089,0.7418285012809565
PDIA3,x,4,0,1,0.89,1.636,1.692,1.0,1.0,1.0,0.00593606615271936,0.02011,0.607199921875
PDIA4,x,4,0,1,1.168,1.337,3.1010000000000004,1.0,1.0,1.0,0.00464078213896841,0.01599,0.5999571289062499
PDIA6,x,4,0,1,1.027,1.2935,1.9,1.0,1.0,1.0,0.0874835692435257,0.19531,0.9033200217496374
PDK1,x,4,0,1,1.163,1.3935,1.635,1.0,1.0,1.0,0.0224561944472031,0.06761,0.6989813432835821
PDK3,x,4,0,1,1.02,1.384,1.887,1.0,1.0,1.0,0.0658310173481671,0.15572,0.8580535601037762
PDK4,x,4,0,1,0.858,1.1495,1.664,1.0,1.0,1.0,0.299600758492783,0.45335,1.0
PDLIM2,x,4,0,0,0.925,1.1795,1.391,1.0,1.0,1.0,0.163378561624582,0.31321,0.9714053276029843
PDLIM5,x,4,0,1,1.034,1.107,1.619,1.0,1.0,1.0,0.37555173340887504,0.52503,1.0
PDLIM7,x,4,0,2,1.0,1.5619999999999998,2.088,1.0,1.0,1.0,0.0221222044305563,0.06684,0.6989813432835821
PDXP,x,4,0,0,0.96,1.1015,1.3159999999999998,1.0,1.0,1.0,0.4682327057105321,0.60858,1.0
PDZD3,x,4,0,1,1.156,1.3975,1.831,1.0,1.0,1.0,0.0402491669819919,0.10644,0.7803521080873898
PDZD4,x,4,0,4,1.4580000000000002,1.513,1.679,1.0,1.0,1.0,0.0010876656060153,0.00394,0.4972398692810458
PDZD7,x,4,0,0,0.825,1.1625,1.6980000000000002,1.0,1.0,1.0,0.278020131232733,0.43286,1.0
PDZD9,x,4,0,0,0.9,1.135,1.432,1.0,1.0,1.0,0.3904530126686,0.53956,1.0
PDZK1IP1,x,4,0,2,0.8690000000000001,1.34,1.761,1.0,1.0,1.0,0.0337681958135616,0.0933,0.7480096226415094
PDZRN3,x,4,0,1,1.085,1.118,1.946,1.0,1.0,1.0,0.142281442156267,0.28366,0.9564580878461811
PDZRN4,x,4,0,0,1.053,1.0795,1.19,1.0,1.0,1.0,0.836656133471303,0.8322700000000001,1.0
