Essential,NonEssential,NonTargeting,BrunelloKinome,GuideID,GeneSymbol,BrunelloWholeGenome,GuideID.1,GeneSymbol.1
CHEK1,C5orf20,,,ACVR2A-4,ACVR2A,,AAMP-4,AAMP
CHERP,C6orf10,,,ACVR2A-5,ACVR2A,,AANAT-1,AANAT
CHMP2A,C7orf66,,,ACVR2A-6,ACVR2A,,AANAT-2,AANAT
CHMP6,C7orf71,,,ACVR2A-7,ACVR2A,,AANAT-3,AANAT
CIAO1,C8A,,,ACVR2A-8,ACVR2A,,AANAT-4,AANAT
CINP,C8B,,,ACVR2B-1,ACVR2B,,AAR2-1,AAR2
CIRH1A,C8orf17,,,ACVR2B-2,ACVR2B,,AAR2-2,AAR2
CKAP5,C8orf86,,,ACVR2B-3,ACVR2B,,AAR2-3,AAR2
CLNS1A,C9orf53,,,ACVR2B-4,ACVR2B,,AAR2-4,AAR2
CLP1,CABP2,,,ACVR2B-5,ACVR2B,,AARD-1,AARD
CLTC,CABP5,,,ACVR2B-6,ACVR2B,,AARD-2,AARD
CMPK1,CABS1,,,ACVR2B-7,ACVR2B,,AARD-3,AARD
CMTR1,CACNG2,,,ACVR2B-8,ACVR2B,,AARD-4,AARD
CNOT3,CACNG3,,,ACVRL1-1,ACVRL1,,AARS-1,AARS
COA5,CACNG5,,,ACVRL1-2,ACVRL1,,AARS-2,AARS
COPA,CATSPER4,,,ACVRL1-3,ACVRL1,,AARS-3,AARS
COPB1,CCDC155,,,ACVRL1-4,ACVRL1,,AARS-4,AARS
COPB2,CCDC172,,,ACVRL1-5,ACVRL1,,AARS2-1,AARS2
COPS3,CCDC83,,,ACVRL1-6,ACVRL1,,AARS2-2,AARS2
COPS6,CCKAR,,,ACVRL1-7,ACVRL1,,AARS2-3,AARS2
COPZ1,CCL1,,,ACVRL1-8,ACVRL1,,AARS2-4,AARS2
COQ4,CCT8L2,,,ADCK1-1,ADCK1,,AARSD1-1,AARSD1
COX10,CD200R1L,,,ADCK1-2,ADCK1,,AARSD1-2,AARSD1
COX11,CDCP2,,,ADCK1-3,ADCK1,,AARSD1-3,AARSD1
COX15,CDX2,,,ADCK1-4,ADCK1,,AARSD1-4,AARSD1
COX4I1,CDX4,,,ADCK1-5,ADCK1,,AASDH-1,AASDH
COX5B,CDY1,,,ADCK1-6,ADCK1,,AASDH-2,AASDH
COX6B1,CDY1B,,,ADCK1-7,ADCK1,,AASDH-3,AASDH
CPSF1,CDY2A,,,ADCK1-8,ADCK1,,AASDH-4,AASDH
CPSF2,CDY2B,,,ADCK2-1,ADCK2,,AASDHPPT-1,AASDHPPT
CPSF3,CEACAM7,,,ADCK2-2,ADCK2,,AASDHPPT-2,AASDHPPT
CPSF4,CELA2A,,,ADCK2-3,ADCK2,,AASDHPPT-3,AASDHPPT
CRNKL1,CELA3A,,,ADCK2-4,ADCK2,,AASDHPPT-4,AASDHPPT
CSE1L,CELA3B,,,ADCK2-5,ADCK2,,AASS-1,AASS
CTDP1,CER1,,,ADCK2-6,ADCK2,,AASS-2,AASS
CTPS1,CETN1,,,ADCK2-7,ADCK2,,AASS-3,AASS
CTR9,CFHR2,,,ADCK2-8,ADCK2,,AASS-4,AASS
CYCS,CFHR5,,,ADCK3-1,ADCK3,,AATF-1,AATF
DAD1,CHAT,,,ADCK3-2,ADCK3,,AATF-2,AATF
DBR1,CHRNA6,,,ADCK3-3,ADCK3,,AATF-3,AATF
DCTN5,CHRNB3,,,ADCK3-4,ADCK3,,AATF-4,AATF
DDB1,CLCA1,,,ADCK3-5,ADCK3,,AATK-1,AATK
DDOST,CLDN17,,,ADCK3-6,ADCK3,,AATK-2,AATK
DDX10,CLEC2A,,,ADCK3-7,ADCK3,,AATK-3,AATK
DDX18,CLEC3A,,,ADCK3-8,ADCK3,,AATK-4,AATK
DDX20,CLEC6A,,,ADCK4-1,ADCK4,,ABAT-1,ABAT
DDX21,CLRN1,,,ADCK4-2,ADCK4,,ABAT-2,ABAT
DDX27,CNBD1,,,ADCK4-3,ADCK4,,ABAT-3,ABAT
DDX41,CNGA2,,,ADCK4-4,ADCK4,,ABAT-4,ABAT
DDX47,CNGB3,,,ADCK4-5,ADCK4,,ABCA1-1,ABCA1
DDX49,CNPY1,,,ADCK4-6,ADCK4,,ABCA1-2,ABCA1
DDX55,CNTNAP5,,,ADCK4-7,ADCK4,,ABCA1-3,ABCA1
DDX56,COL20A1,,,ADCK4-8,ADCK4,,ABCA1-4,ABCA1
