Essential,NonEssential,NonTargeting,BrunelloKinome,GuideID,GeneSymbol,BrunelloWholeGenome,GuideID.1,GeneSymbol.1
,,,,TEC-4,TEC,,BANF1-4,BANF1
,,,,TEC-5,TEC,,BANF2-1,BANF2
,,,,TEC-6,TEC,,BANF2-2,BANF2
,,,,TEC-7,TEC,,BANF2-3,BANF2
,,,,TEC-8,TEC,,BANF2-4,BANF2
,,,,TEK-1,TEK,,BANK1-1,BANK1
,,,,TEK-2,TEK,,BANK1-2,BANK1
,,,,TEK-3,TEK,,BANK1-3,BANK1
,,,,TEK-4,TEK,,BANK1-4,BANK1
,,,,TEK-5,TEK,,BANP-1,BANP
,,,,TEK-6,TEK,,BANP-2,BANP
,,,,TEK-7,TEK,,BANP-3,BANP
,,,,TEK-8,TEK,,BANP-4,BANP
,,,,TESK1-1,TESK1,,BAP1-1,BAP1
,,,,TESK1-2,TESK1,,BAP1-2,BAP1
,,,,TESK1-3,TESK1,,BAP1-3,BAP1
,,,,TESK1-4,TESK1,,BAP1-4,BAP1
,,,,TESK1-5,TESK1,,BARD1-1,BARD1
,,,,TESK1-6,TESK1,,BARD1-2,BARD1
,,,,TESK1-7,TESK1,,BARD1-3,BARD1
,,,,TESK1-8,TESK1,,BARD1-4,BARD1
,,,,TESK2-1,TESK2,,BARHL1-1,BARHL1
,,,,TESK2-2,TESK2,,BARHL1-2,BARHL1
,,,,TESK2-3,TESK2,,BARHL1-3,BARHL1
,,,,TESK2-4,TESK2,,BARHL1-4,BARHL1
,,,,TESK2-5,TESK2,,BARHL2-1,BARHL2
,,,,TESK2-6,TESK2,,BARHL2-2,BARHL2
,,,,TESK2-7,TESK2,,BARHL2-3,BARHL2
,,,,TESK2-8,TESK2,,BARHL2-4,BARHL2
,,,,TEX14-1,TEX14,,BARX1-1,BARX1
,,,,TEX14-2,TEX14,,BARX1-2,BARX1
,,,,TEX14-3,TEX14,,BARX1-3,BARX1
,,,,TEX14-4,TEX14,,BARX1-4,BARX1
,,,,TEX14-5,TEX14,,BARX2-1,BARX2
,,,,TEX14-6,TEX14,,BARX2-2,BARX2
,,,,TEX14-7,TEX14,,BARX2-3,BARX2
,,,,TEX14-8,TEX14,,BARX2-4,BARX2
,,,,TGFBR1-1,TGFBR1,,BASP1-1,BASP1
,,,,TGFBR1-2,TGFBR1,,BASP1-2,BASP1
,,,,TGFBR1-3,TGFBR1,,BASP1-3,BASP1
,,,,TGFBR1-4,TGFBR1,,BASP1-4,BASP1
,,,,TGFBR1-5,TGFBR1,,BATF-1,BATF
,,,,TGFBR1-6,TGFBR1,,BATF-2,BATF
,,,,TGFBR1-7,TGFBR1,,BATF-3,BATF
,,,,TGFBR1-8,TGFBR1,,BATF-4,BATF
,,,,TGFBR2-1,TGFBR2,,BATF2-1,BATF2
,,,,TGFBR2-2,TGFBR2,,BATF2-2,BATF2
,,,,TGFBR2-3,TGFBR2,,BATF2-3,BATF2
,,,,TGFBR2-4,TGFBR2,,BATF2-4,BATF2
,,,,TGFBR2-5,TGFBR2,,BATF3-1,BATF3
,,,,TGFBR2-6,TGFBR2,,BATF3-2,BATF3
,,,,TGFBR2-7,TGFBR2,,BATF3-3,BATF3
,,,,TGFBR2-8,TGFBR2,,BATF3-4,BATF3
,,,,TGFBR3-1,TGFBR3,,BAX-1,BAX
,,,,TGFBR3-2,TGFBR3,,BAX-2,BAX
,,,,TGFBR3-3,TGFBR3,,BAX-3,BAX
,,,,TGFBR3-4,TGFBR3,,BAX-4,BAX
,,,,TGFBR3-5,TGFBR3,,BAZ1A-1,BAZ1A
,,,,TGFBR3-6,TGFBR3,,BAZ1A-2,BAZ1A
,,,,TGFBR3-7,TGFBR3,,BAZ1A-3,BAZ1A
,,,,TGFBR3-8,TGFBR3,,BAZ1A-4,BAZ1A
,,,,TIE1-1,TIE1,,BAZ1B-1,BAZ1B
,,,,TIE1-2,TIE1,,BAZ1B-2,BAZ1B
,,,,TIE1-3,TIE1,,BAZ1B-3,BAZ1B
,,,,TIE1-4,TIE1,,BAZ1B-4,BAZ1B
,,,,TIE1-5,TIE1,,BAZ2A-1,BAZ2A
,,,,TIE1-6,TIE1,,BAZ2A-2,BAZ2A
,,,,TIE1-7,TIE1,,BAZ2A-3,BAZ2A
,,,,TIE1-8,TIE1,,BAZ2A-4,BAZ2A
,,,,TJP2-1,TJP2,,BAZ2B-1,BAZ2B
,,,,TJP2-2,TJP2,,BAZ2B-2,BAZ2B
,,,,TJP2-3,TJP2,,BAZ2B-3,BAZ2B
,,,,TJP2-4,TJP2,,BAZ2B-4,BAZ2B
,,,,TJP2-5,TJP2,,BBC3-1,BBC3
,,,,TJP2-6,TJP2,,BBC3-2,BBC3
,,,,TJP2-7,TJP2,,BBC3-3,BBC3
,,,,TJP2-8,TJP2,,BBC3-4,BBC3
,,,,TK1-1,TK1,,BBIP1-1,BBIP1
,,,,TK1-2,TK1,,BBIP1-2,BBIP1
,,,,TK1-3,TK1,,BBIP1-3,BBIP1
,,,,TK1-4,TK1,,BBIP1-4,BBIP1
,,,,TK1-5,TK1,,BBOX1-1,BBOX1
,,,,TK1-6,TK1,,BBOX1-2,BBOX1
,,,,TK1-7,TK1,,BBOX1-3,BBOX1
,,,,TK1-8,TK1,,BBOX1-4,BBOX1
,,,,TK2-1,TK2,,BBS1-1,BBS1
,,,,TK2-2,TK2,,BBS1-2,BBS1
,,,,TK2-3,TK2,,BBS1-3,BBS1
,,,,TK2-4,TK2,,BBS1-4,BBS1
,,,,TK2-5,TK2,,BBS10-1,BBS10
,,,,TK2-6,TK2,,BBS10-2,BBS10
,,,,TK2-7,TK2,,BBS10-3,BBS10
,,,,TK2-8,TK2,,BBS10-4,BBS10
,,,,TKFC-1,TKFC,,BBS12-1,BBS12
,,,,TKFC-2,TKFC,,BBS12-2,BBS12
,,,,TKFC-3,TKFC,,BBS12-3,BBS12
,,,,TKFC-4,TKFC,,BBS12-4,BBS12
,,,,TKFC-5,TKFC,,BBS2-1,BBS2
,,,,TKFC-6,TKFC,,BBS2-2,BBS2
,,,,TKFC-7,TKFC,,BBS2-3,BBS2
,,,,TKFC-8,TKFC,,BBS2-4,BBS2
,,,,TLK1-1,TLK1,,BBS4-1,BBS4
,,,,TLK1-2,TLK1,,BBS4-2,BBS4
,,,,TLK1-3,TLK1,,BBS4-3,BBS4
,,,,TLK1-4,TLK1,,BBS4-4,BBS4
,,,,TLK1-5,TLK1,,BBS5-1,BBS5
,,,,TLK1-6,TLK1,,BBS5-2,BBS5
,,,,TLK1-7,TLK1,,BBS5-3,BBS5
,,,,TLK1-8,TLK1,,BBS5-4,BBS5
,,,,TLK2-1,TLK2,,BBS7-1,BBS7
,,,,TLK2-2,TLK2,,BBS7-2,BBS7
,,,,TLK2-3,TLK2,,BBS7-3,BBS7
,,,,TLK2-4,TLK2,,BBS7-4,BBS7
,,,,TLK2-5,TLK2,,BBS9-1,BBS9
,,,,TLK2-6,TLK2,,BBS9-2,BBS9
,,,,TLK2-7,TLK2,,BBS9-3,BBS9
,,,,TLK2-8,TLK2,,BBS9-4,BBS9
,,,,TNIK-1,TNIK,,BBX-1,BBX
,,,,TNIK-2,TNIK,,BBX-2,BBX
,,,,TNIK-3,TNIK,,BBX-3,BBX
,,,,TNIK-4,TNIK,,BBX-4,BBX
,,,,TNIK-5,TNIK,,BCAM-1,BCAM
,,,,TNIK-6,TNIK,,BCAM-2,BCAM
,,,,TNIK-7,TNIK,,BCAM-3,BCAM
,,,,TNIK-8,TNIK,,BCAM-4,BCAM
,,,,TNK1-1,TNK1,,BCAN-1,BCAN
,,,,TNK1-2,TNK1,,BCAN-2,BCAN
,,,,TNK1-3,TNK1,,BCAN-3,BCAN
,,,,TNK1-4,TNK1,,BCAN-4,BCAN
,,,,TNK1-5,TNK1,,BCAP29-1,BCAP29
,,,,TNK1-6,TNK1,,BCAP29-2,BCAP29
,,,,TNK1-7,TNK1,,BCAP29-3,BCAP29
,,,,TNK1-8,TNK1,,BCAP29-4,BCAP29
,,,,TNK2-1,TNK2,,BCAP31-1,BCAP31
,,,,TNK2-2,TNK2,,BCAP31-2,BCAP31
,,,,TNK2-3,TNK2,,BCAP31-3,BCAP31
,,,,TNK2-4,TNK2,,BCAP31-4,BCAP31
,,,,TNK2-5,TNK2,,BCAR1-1,BCAR1
,,,,TNK2-6,TNK2,,BCAR1-2,BCAR1
,,,,TNK2-7,TNK2,,BCAR1-3,BCAR1
,,,,TNK2-8,TNK2,,BCAR1-4,BCAR1
,,,,TNNI3K-1,TNNI3K,,BCAR3-1,BCAR3
,,,,TNNI3K-2,TNNI3K,,BCAR3-2,BCAR3
,,,,TNNI3K-3,TNNI3K,,BCAR3-3,BCAR3
,,,,TNNI3K-4,TNNI3K,,BCAR3-4,BCAR3
,,,,TNNI3K-5,TNNI3K,,BCAS1-1,BCAS1
,,,,TNNI3K-6,TNNI3K,,BCAS1-2,BCAS1
,,,,TNNI3K-7,TNNI3K,,BCAS1-3,BCAS1
,,,,TNNI3K-8,TNNI3K,,BCAS1-4,BCAS1
,,,,TP53RK-1,TP53RK,,BCAS2-1,BCAS2
,,,,TP53RK-2,TP53RK,,BCAS2-2,BCAS2
,,,,TP53RK-3,TP53RK,,BCAS2-3,BCAS2
,,,,TP53RK-4,TP53RK,,BCAS2-4,BCAS2
,,,,TP53RK-5,TP53RK,,BCAS3-1,BCAS3
,,,,TP53RK-6,TP53RK,,BCAS3-2,BCAS3
,,,,TP53RK-7,TP53RK,,BCAS3-3,BCAS3
,,,,TP53RK-8,TP53RK,,BCAS3-4,BCAS3
,,,,TPD52L3-1,TPD52L3,,BCAS4-1,BCAS4
,,,,TPD52L3-2,TPD52L3,,BCAS4-2,BCAS4
,,,,TPD52L3-3,TPD52L3,,BCAS4-3,BCAS4
,,,,TPD52L3-4,TPD52L3,,BCAS4-4,BCAS4
,,,,TPD52L3-5,TPD52L3,,BCAT1-1,BCAT1
,,,,TPD52L3-6,TPD52L3,,BCAT1-2,BCAT1
,,,,TPD52L3-7,TPD52L3,,BCAT1-3,BCAT1
,,,,TPD52L3-8,TPD52L3,,BCAT1-4,BCAT1
,,,,TPK1-1,TPK1,,BCAT2-1,BCAT2
,,,,TPK1-2,TPK1,,BCAT2-2,BCAT2
,,,,TPK1-3,TPK1,,BCAT2-3,BCAT2
,,,,TPK1-4,TPK1,,BCAT2-4,BCAT2
,,,,TPK1-5,TPK1,,BCCIP-1,BCCIP
,,,,TPK1-6,TPK1,,BCCIP-2,BCCIP
,,,,TPK1-7,TPK1,,BCCIP-3,BCCIP
,,,,TPK1-8,TPK1,,BCCIP-4,BCCIP
,,,,TPR-1,TPR,,BCDIN3D-1,BCDIN3D
,,,,TPR-2,TPR,,BCDIN3D-2,BCDIN3D
,,,,TPR-3,TPR,,BCDIN3D-3,BCDIN3D
,,,,TPR-4,TPR,,BCDIN3D-4,BCDIN3D
,,,,TPR-5,TPR,,BCHE-1,BCHE
,,,,TPR-6,TPR,,BCHE-2,BCHE
,,,,TPR-7,TPR,,BCHE-3,BCHE
,,,,TPR-8,TPR,,BCHE-4,BCHE
,,,,TRIB1-1,TRIB1,,BCKDHA-1,BCKDHA
,,,,TRIB1-2,TRIB1,,BCKDHA-2,BCKDHA
,,,,TRIB1-3,TRIB1,,BCKDHA-3,BCKDHA
,,,,TRIB1-4,TRIB1,,BCKDHA-4,BCKDHA
,,,,TRIB1-5,TRIB1,,BCKDHB-1,BCKDHB
,,,,TRIB1-6,TRIB1,,BCKDHB-2,BCKDHB
,,,,TRIB1-7,TRIB1,,BCKDHB-3,BCKDHB
,,,,TRIB1-8,TRIB1,,BCKDHB-4,BCKDHB
,,,,TRIB2-1,TRIB2,,BCKDK-1,BCKDK
,,,,TRIB2-2,TRIB2,,BCKDK-2,BCKDK
,,,,TRIB2-3,TRIB2,,BCKDK-3,BCKDK
,,,,TRIB2-4,TRIB2,,BCKDK-4,BCKDK
,,,,TRIB2-5,TRIB2,,BCL10-1,BCL10
,,,,TRIB2-6,TRIB2,,BCL10-2,BCL10
,,,,TRIB2-7,TRIB2,,BCL10-3,BCL10
,,,,TRIB2-8,TRIB2,,BCL10-4,BCL10
,,,,TRIB3-1,TRIB3,,BCL11A-1,BCL11A
,,,,TRIB3-2,TRIB3,,BCL11A-2,BCL11A
,,,,TRIB3-3,TRIB3,,BCL11A-3,BCL11A
,,,,TRIB3-4,TRIB3,,BCL11A-4,BCL11A
,,,,TRIB3-5,TRIB3,,BCL11B-1,BCL11B
,,,,TRIB3-6,TRIB3,,BCL11B-2,BCL11B
,,,,TRIB3-7,TRIB3,,BCL11B-3,BCL11B
,,,,TRIB3-8,TRIB3,,BCL11B-4,BCL11B
,,,,TRIM24-1,TRIM24,,BCL2-1,BCL2
,,,,TRIM24-2,TRIM24,,BCL2-2,BCL2
,,,,TRIM24-3,TRIM24,,BCL2-3,BCL2
,,,,TRIM24-4,TRIM24,,BCL2-4,BCL2
,,,,TRIM24-5,TRIM24,,BCL2A1-1,BCL2A1
,,,,TRIM24-6,TRIM24,,BCL2A1-2,BCL2A1
,,,,TRIM24-7,TRIM24,,BCL2A1-3,BCL2A1
,,,,TRIM24-8,TRIM24,,BCL2A1-4,BCL2A1
,,,,TRIM27-1,TRIM27,,BCL2L1-1,BCL2L1
,,,,TRIM27-2,TRIM27,,BCL2L1-2,BCL2L1
,,,,TRIM27-3,TRIM27,,BCL2L1-3,BCL2L1
,,,,TRIM27-4,TRIM27,,BCL2L1-4,BCL2L1
,,,,TRIM27-5,TRIM27,,BCL2L10-1,BCL2L10
,,,,TRIM27-6,TRIM27,,BCL2L10-2,BCL2L10
,,,,TRIM27-7,TRIM27,,BCL2L10-3,BCL2L10
,,,,TRIM27-8,TRIM27,,BCL2L10-4,BCL2L10
,,,,TRIM28-1,TRIM28,,BCL2L11-1,BCL2L11
,,,,TRIM28-2,TRIM28,,BCL2L11-2,BCL2L11
,,,,TRIM28-3,TRIM28,,BCL2L11-3,BCL2L11
,,,,TRIM28-4,TRIM28,,BCL2L11-4,BCL2L11
,,,,TRIM28-5,TRIM28,,BCL2L12-1,BCL2L12
,,,,TRIM28-6,TRIM28,,BCL2L12-2,BCL2L12
,,,,TRIM28-7,TRIM28,,BCL2L12-3,BCL2L12
,,,,TRIM28-8,TRIM28,,BCL2L12-4,BCL2L12
,,,,TRIM33-1,TRIM33,,BCL2L13-1,BCL2L13
,,,,TRIM33-2,TRIM33,,BCL2L13-2,BCL2L13
,,,,TRIM33-3,TRIM33,,BCL2L13-3,BCL2L13
,,,,TRIM33-4,TRIM33,,BCL2L13-4,BCL2L13
,,,,TRIM33-5,TRIM33,,BCL2L14-1,BCL2L14
,,,,TRIM33-6,TRIM33,,BCL2L14-2,BCL2L14
,,,,TRIM33-7,TRIM33,,BCL2L14-3,BCL2L14
,,,,TRIM33-8,TRIM33,,BCL2L14-4,BCL2L14
,,,,TRIO-1,TRIO,,BCL2L15-1,BCL2L15
,,,,TRIO-2,TRIO,,BCL2L15-2,BCL2L15
,,,,TRIO-3,TRIO,,BCL2L15-3,BCL2L15
,,,,TRIO-4,TRIO,,BCL2L15-4,BCL2L15
,,,,TRIO-5,TRIO,,BCL2L2-1,BCL2L2
,,,,TRIO-6,TRIO,,BCL2L2-2,BCL2L2
,,,,TRIO-7,TRIO,,BCL2L2-3,BCL2L2
,,,,TRIO-8,TRIO,,BCL2L2-4,BCL2L2
,,,,TRPM6-1,TRPM6,,BCL2L2-PABPN1-1,BCL2L2-PABPN1
,,,,TRPM6-2,TRPM6,,BCL2L2-PABPN1-2,BCL2L2-PABPN1
,,,,TRPM6-3,TRPM6,,BCL2L2-PABPN1-3,BCL2L2-PABPN1
,,,,TRPM6-4,TRPM6,,BCL2L2-PABPN1-4,BCL2L2-PABPN1
,,,,TRPM6-5,TRPM6,,BCL3-1,BCL3
,,,,TRPM6-6,TRPM6,,BCL3-2,BCL3
,,,,TRPM6-7,TRPM6,,BCL3-3,BCL3
,,,,TRPM6-8,TRPM6,,BCL3-4,BCL3
,,,,TRPM7-1,TRPM7,,BCL6-1,BCL6
,,,,TRPM7-2,TRPM7,,BCL6-2,BCL6
,,,,TRPM7-3,TRPM7,,BCL6-3,BCL6
,,,,TRPM7-4,TRPM7,,BCL6-4,BCL6
,,,,TRPM7-5,TRPM7,,BCL6B-1,BCL6B
,,,,TRPM7-6,TRPM7,,BCL6B-2,BCL6B
,,,,TRPM7-7,TRPM7,,BCL6B-3,BCL6B
,,,,TRPM7-8,TRPM7,,BCL6B-4,BCL6B
,,,,TRRAP-1,TRRAP,,BCL7A-1,BCL7A
,,,,TRRAP-2,TRRAP,,BCL7A-2,BCL7A
,,,,TRRAP-3,TRRAP,,BCL7A-3,BCL7A
,,,,TRRAP-4,TRRAP,,BCL7A-4,BCL7A
,,,,TRRAP-5,TRRAP,,BCL7B-1,BCL7B
,,,,TRRAP-6,TRRAP,,BCL7B-2,BCL7B
,,,,TRRAP-7,TRRAP,,BCL7B-3,BCL7B
,,,,TRRAP-8,TRRAP,,BCL7B-4,BCL7B
,,,,TSSK1B-1,TSSK1B,,BCL7C-1,BCL7C
,,,,TSSK1B-2,TSSK1B,,BCL7C-2,BCL7C
,,,,TSSK1B-3,TSSK1B,,BCL7C-3,BCL7C
,,,,TSSK1B-4,TSSK1B,,BCL7C-4,BCL7C
,,,,TSSK1B-5,TSSK1B,,BCL9-1,BCL9
,,,,TSSK1B-6,TSSK1B,,BCL9-2,BCL9
,,,,TSSK1B-7,TSSK1B,,BCL9-3,BCL9
,,,,TSSK1B-8,TSSK1B,,BCL9-4,BCL9
,,,,TSSK2-1,TSSK2,,BCL9L-1,BCL9L
,,,,TSSK2-2,TSSK2,,BCL9L-2,BCL9L
,,,,TSSK2-3,TSSK2,,BCL9L-3,BCL9L
,,,,TSSK2-4,TSSK2,,BCL9L-4,BCL9L
,,,,TSSK2-5,TSSK2,,BCLAF1-1,BCLAF1
,,,,TSSK2-6,TSSK2,,BCLAF1-2,BCLAF1
,,,,TSSK2-7,TSSK2,,BCLAF1-3,BCLAF1
,,,,TSSK2-8,TSSK2,,BCLAF1-4,BCLAF1
,,,,TSSK3-1,TSSK3,,BCO1-1,BCO1
,,,,TSSK3-2,TSSK3,,BCO1-2,BCO1
,,,,TSSK3-3,TSSK3,,BCO1-3,BCO1
,,,,TSSK3-4,TSSK3,,BCO1-4,BCO1
,,,,TSSK3-5,TSSK3,,BCO2-1,BCO2
,,,,TSSK3-6,TSSK3,,BCO2-2,BCO2
,,,,TSSK3-7,TSSK3,,BCO2-3,BCO2
,,,,TSSK3-8,TSSK3,,BCO2-4,BCO2
,,,,TSSK4-1,TSSK4,,BCOR-1,BCOR
,,,,TSSK4-2,TSSK4,,BCOR-2,BCOR
,,,,TSSK4-3,TSSK4,,BCOR-3,BCOR
,,,,TSSK4-4,TSSK4,,BCOR-4,BCOR
,,,,TSSK4-5,TSSK4,,BCORL1-1,BCORL1
,,,,TSSK4-6,TSSK4,,BCORL1-2,BCORL1
,,,,TSSK4-7,TSSK4,,BCORL1-3,BCORL1
,,,,TSSK4-8,TSSK4,,BCORL1-4,BCORL1
,,,,TSSK6-1,TSSK6,,BCR-1,BCR
,,,,TSSK6-2,TSSK6,,BCR-2,BCR
,,,,TSSK6-3,TSSK6,,BCR-3,BCR
,,,,TSSK6-4,TSSK6,,BCR-4,BCR
,,,,TSSK6-5,TSSK6,,BCS1L-1,BCS1L
,,,,TSSK6-6,TSSK6,,BCS1L-2,BCS1L
,,,,TSSK6-7,TSSK6,,BCS1L-3,BCS1L
,,,,TSSK6-8,TSSK6,,BCS1L-4,BCS1L
,,,,TTBK1-1,TTBK1,,BDH1-1,BDH1
,,,,TTBK1-2,TTBK1,,BDH1-2,BDH1
,,,,TTBK1-3,TTBK1,,BDH1-3,BDH1
,,,,TTBK1-4,TTBK1,,BDH1-4,BDH1
,,,,TTBK1-5,TTBK1,,BDH2-1,BDH2
,,,,TTBK1-6,TTBK1,,BDH2-2,BDH2
,,,,TTBK1-7,TTBK1,,BDH2-3,BDH2
,,,,TTBK1-8,TTBK1,,BDH2-4,BDH2
,,,,TTBK2-1,TTBK2,,BDKRB1-1,BDKRB1
,,,,TTBK2-2,TTBK2,,BDKRB1-2,BDKRB1
,,,,TTBK2-3,TTBK2,,BDKRB1-3,BDKRB1
,,,,TTBK2-4,TTBK2,,BDKRB1-4,BDKRB1
,,,,TTBK2-5,TTBK2,,BDKRB2-1,BDKRB2
,,,,TTBK2-6,TTBK2,,BDKRB2-2,BDKRB2
,,,,TTBK2-7,TTBK2,,BDKRB2-3,BDKRB2
,,,,TTBK2-8,TTBK2,,BDKRB2-4,BDKRB2
,,,,TTK-1,TTK,,BDP1-1,BDP1
,,,,TTK-2,TTK,,BDP1-2,BDP1
,,,,TTK-3,TTK,,BDP1-3,BDP1
,,,,TTK-4,TTK,,BDP1-4,BDP1
,,,,TTK-5,TTK,,BEAN1-1,BEAN1
,,,,TTK-6,TTK,,BEAN1-2,BEAN1
,,,,TTK-7,TTK,,BEAN1-3,BEAN1
,,,,TTK-8,TTK,,BEAN1-4,BEAN1
,,,,TTN-1,TTN,,BECN1-1,BECN1
,,,,TTN-2,TTN,,BECN1-2,BECN1
,,,,TTN-3,TTN,,BECN1-3,BECN1
,,,,TTN-4,TTN,,BECN1-4,BECN1
,,,,TTN-5,TTN,,BECN2-1,BECN2
,,,,TTN-6,TTN,,BECN2-2,BECN2
,,,,TTN-7,TTN,,BECN2-3,BECN2
,,,,TTN-8,TTN,,BECN2-4,BECN2
,,,,TWF1-1,TWF1,,BEGAIN-1,BEGAIN
,,,,TWF1-2,TWF1,,BEGAIN-2,BEGAIN
,,,,TWF1-3,TWF1,,BEGAIN-3,BEGAIN
,,,,TWF1-4,TWF1,,BEGAIN-4,BEGAIN
,,,,TWF1-5,TWF1,,BEND2-1,BEND2
,,,,TWF1-6,TWF1,,BEND2-2,BEND2
,,,,TWF1-7,TWF1,,BEND2-3,BEND2
,,,,TWF1-8,TWF1,,BEND2-4,BEND2
,,,,TWF2-1,TWF2,,BEND3-1,BEND3
,,,,TWF2-2,TWF2,,BEND3-2,BEND3
,,,,TWF2-3,TWF2,,BEND3-3,BEND3
,,,,TWF2-4,TWF2,,BEND3-4,BEND3
,,,,TWF2-5,TWF2,,BEND4-1,BEND4
,,,,TWF2-6,TWF2,,BEND4-2,BEND4
,,,,TWF2-7,TWF2,,BEND4-3,BEND4
,,,,TWF2-8,TWF2,,BEND4-4,BEND4
,,,,TXK-1,TXK,,BEND5-1,BEND5
,,,,TXK-2,TXK,,BEND5-2,BEND5
,,,,TXK-3,TXK,,BEND5-3,BEND5
,,,,TXK-4,TXK,,BEND5-4,BEND5
,,,,TXK-5,TXK,,BEND6-1,BEND6
,,,,TXK-6,TXK,,BEND6-2,BEND6
,,,,TXK-7,TXK,,BEND6-3,BEND6
,,,,TXK-8,TXK,,BEND6-4,BEND6
,,,,TYK2-1,TYK2,,BEND7-1,BEND7
,,,,TYK2-2,TYK2,,BEND7-2,BEND7
,,,,TYK2-3,TYK2,,BEND7-3,BEND7
,,,,TYK2-4,TYK2,,BEND7-4,BEND7
,,,,TYK2-5,TYK2,,BEST1-1,BEST1
,,,,TYK2-6,TYK2,,BEST1-2,BEST1
,,,,TYK2-7,TYK2,,BEST1-3,BEST1
,,,,TYK2-8,TYK2,,BEST1-4,BEST1
,,,,TYRO3-1,TYRO3,,BEST2-1,BEST2
,,,,TYRO3-2,TYRO3,,BEST2-2,BEST2
,,,,TYRO3-3,TYRO3,,BEST2-3,BEST2
,,,,TYRO3-4,TYRO3,,BEST2-4,BEST2
,,,,TYRO3-5,TYRO3,,BEST3-1,BEST3
,,,,TYRO3-6,TYRO3,,BEST3-2,BEST3
,,,,TYRO3-7,TYRO3,,BEST3-3,BEST3
,,,,TYRO3-8,TYRO3,,BEST3-4,BEST3
,,,,UCK1-1,UCK1,,BEST4-1,BEST4
,,,,UCK1-2,UCK1,,BEST4-2,BEST4
,,,,UCK1-3,UCK1,,BEST4-3,BEST4
,,,,UCK1-4,UCK1,,BEST4-4,BEST4
,,,,UCK1-5,UCK1,,BET1-1,BET1
,,,,UCK1-6,UCK1,,BET1-2,BET1
,,,,UCK1-7,UCK1,,BET1-3,BET1
,,,,UCK1-8,UCK1,,BET1-4,BET1
,,,,UCK2-1,UCK2,,BET1L-1,BET1L
,,,,UCK2-2,UCK2,,BET1L-2,BET1L
,,,,UCK2-3,UCK2,,BET1L-3,BET1L
,,,,UCK2-4,UCK2,,BET1L-4,BET1L
,,,,UCK2-5,UCK2,,BEX1-1,BEX1
,,,,UCK2-6,UCK2,,BEX1-2,BEX1
,,,,UCK2-7,UCK2,,BEX1-3,BEX1
,,,,UCK2-8,UCK2,,BEX1-4,BEX1
,,,,UCKL1-1,UCKL1,,BEX2-1,BEX2
,,,,UCKL1-2,UCKL1,,BEX2-2,BEX2
,,,,UCKL1-3,UCKL1,,BEX2-3,BEX2
,,,,UCKL1-4,UCKL1,,BEX2-4,BEX2
,,,,UCKL1-5,UCKL1,,BEX4-1,BEX4
,,,,UCKL1-6,UCKL1,,BEX4-2,BEX4
,,,,UCKL1-7,UCKL1,,BEX4-3,BEX4
,,,,UCKL1-8,UCKL1,,BEX4-4,BEX4
,,,,UHMK1-1,UHMK1,,BEX5-1,BEX5
,,,,UHMK1-2,UHMK1,,BEX5-2,BEX5
,,,,UHMK1-3,UHMK1,,BEX5-3,BEX5
,,,,UHMK1-4,UHMK1,,BEX5-4,BEX5
,,,,UHMK1-5,UHMK1,,BFAR-1,BFAR
,,,,UHMK1-6,UHMK1,,BFAR-2,BFAR
,,,,UHMK1-7,UHMK1,,BFAR-3,BFAR
,,,,UHMK1-8,UHMK1,,BFAR-4,BFAR
,,,,ULK1-1,ULK1,,BFSP1-1,BFSP1
,,,,ULK1-2,ULK1,,BFSP1-2,BFSP1
,,,,ULK1-3,ULK1,,BFSP1-3,BFSP1
,,,,ULK1-4,ULK1,,BFSP1-4,BFSP1
,,,,ULK1-5,ULK1,,BFSP2-1,BFSP2
,,,,ULK1-6,ULK1,,BFSP2-2,BFSP2
,,,,ULK1-7,ULK1,,BFSP2-3,BFSP2
,,,,ULK1-8,ULK1,,BFSP2-4,BFSP2
,,,,ULK2-1,ULK2,,BGLAP-1,BGLAP
,,,,ULK2-2,ULK2,,BGLAP-2,BGLAP
,,,,ULK2-3,ULK2,,BGLAP-3,BGLAP
,,,,ULK2-4,ULK2,,BGLAP-4,BGLAP
,,,,ULK2-5,ULK2,,BGN-1,BGN
,,,,ULK2-6,ULK2,,BGN-2,BGN
,,,,ULK2-7,ULK2,,BGN-3,BGN
,,,,ULK2-8,ULK2,,BGN-4,BGN
,,,,ULK3-1,ULK3,,BHLHA15-1,BHLHA15
,,,,ULK3-2,ULK3,,BHLHA15-2,BHLHA15
,,,,ULK3-3,ULK3,,BHLHA15-3,BHLHA15
,,,,ULK3-4,ULK3,,BHLHA15-4,BHLHA15
,,,,ULK3-5,ULK3,,BHLHA9-1,BHLHA9
,,,,ULK3-6,ULK3,,BHLHA9-2,BHLHA9
,,,,ULK3-7,ULK3,,BHLHA9-3,BHLHA9
,,,,ULK3-8,ULK3,,BHLHA9-4,BHLHA9
,,,,ULK4-1,ULK4,,BHLHB9-1,BHLHB9
,,,,ULK4-2,ULK4,,BHLHB9-2,BHLHB9
,,,,ULK4-3,ULK4,,BHLHB9-3,BHLHB9
,,,,ULK4-4,ULK4,,BHLHB9-4,BHLHB9
,,,,ULK4-5,ULK4,,BHLHE22-1,BHLHE22
,,,,ULK4-6,ULK4,,BHLHE22-2,BHLHE22
,,,,ULK4-7,ULK4,,BHLHE22-3,BHLHE22
,,,,ULK4-8,ULK4,,BHLHE22-4,BHLHE22
