GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
FAM193A,x,4,0,0,0.636,1.038,1.403,0.190703487031073,0.31606,1.0,0.17569223189535502,0.31472,0.9610529496173468
PDK4,x,4,0,1,0.523,0.8490000000000001,1.662,0.19074377547678,0.31609,1.0,0.282397990871661,0.42323999999999995,1.0
DSC1,x,4,0,0,0.609,0.8055,0.9359999999999999,0.1909452539708469,0.31626,1.0,1.0,1.0,1.0
MASP1,x,4,1,0,0.483,0.946,1.314,0.190965405142893,0.31626,1.0,0.412098303088762,0.5509,1.0
PLA2G2F,n,4,0,0,0.5760000000000001,0.852,1.518,0.19102586228173304,0.3164,1.0,0.422567105435481,0.55976,1.0
PUM2,x,4,0,0,0.659,0.8740000000000001,1.2890000000000001,0.19146938050367104,0.31693000000000005,1.0,0.6982274523010021,0.72265,1.0
SLC51A,x,4,1,0,0.324,0.85,1.464,0.191489547352143,0.31693000000000005,1.0,0.48365833373030603,0.60407,1.0
CRYGD,x,4,1,1,0.531,0.768,1.621,0.191610561081995,0.31701999999999997,1.0,0.318738299738562,0.4615800000000001,1.0
LRRC8E,x,4,0,0,0.64,0.8815,1.307,0.191792122276529,0.31716,1.0,0.6760416561616,0.70823,1.0
SCGB1D4,x,4,1,0,0.531,0.9490000000000001,1.3219999999999998,0.191872831767456,0.31722,1.0,0.40335164163675,0.5435300000000001,1.0
SWAP70,x,4,0,0,0.677,1.0165,2.0909999999999997,0.191893010641923,0.31724,1.0,0.0775462719044201,0.17451,0.9065630829718004
MAPK9,x,4,0,1,0.6559999999999999,1.094,2.255,0.1919535508683481,0.3173,1.0,0.0490217893858905,0.12032000000000001,0.8756871727748692
HMGN1,x,4,1,0,0.24100000000000002,0.9435,1.496,0.19242898955797305,0.31778,1.0,0.447043324629545,0.57962,1.0
CCDC137,x,4,1,1,0.41,0.778,1.72,0.19243806702764105,0.3178,1.0,0.23744047816028402,0.37832,0.9946212842018424
ADGRL2,x,4,0,0,0.596,0.7915,1.219,0.19245826269062602,0.31781,1.0,1.0,1.0,1.0
CFAP74,x,4,0,0,0.6409999999999999,0.8490000000000001,1.11,0.19257944923575,0.31795999999999996,1.0,1.0,1.0,1.0
TXNRD3NB,x,4,0,0,0.6970000000000001,0.8795,1.185,0.192599649087142,0.31798000000000004,1.0,0.815587332864879,0.80508,1.0
ATAD3A,x,4,1,0,0.608,0.792,1.501,0.192700657313565,0.31809,1.0,0.441224047011699,0.57502,1.0
SIGLEC1,x,4,0,0,0.578,0.846,1.8159999999999998,0.19288250977045399,0.31829,1.0,0.177140278516425,0.31606,0.9615608626452332
KLK4,x,4,1,0,0.6559999999999999,0.884,1.075,0.19292292799705799,0.31836,1.0,1.0,1.0,1.0
KRT33B,x,4,0,0,0.512,0.938,1.575,0.19296334861134398,0.31839,1.0,0.360984539778552,0.5035,1.0
FAM181B,x,4,0,0,0.6409999999999999,0.753,1.609,0.19298355981369,0.31839,1.0,0.33009313461373496,0.4728100000000001,1.0
TMED2,x,4,0,0,0.688,0.8675,1.051,0.193104839556126,0.31851999999999997,1.0,1.0,1.0,1.0
HDAC8,x,4,1,1,0.5589999999999999,0.8175,1.649,0.19314527090794,0.31856999999999996,1.0,0.29396641134497803,0.43592,1.0
CLDN11,x,4,1,0,0.483,0.807,1.3330000000000002,0.19318570464430604,0.31861999999999996,1.0,0.6438785252900239,0.68884,1.0
MZT2A,x,4,1,1,0.637,1.094,1.643,0.19320592240651802,0.31861999999999996,1.0,0.0981950410354174,0.20990999999999999,0.9159270833333334
INSL5,n,4,0,0,0.657,0.8065,1.675,0.19324635971864496,0.3187,1.0,0.272520697161033,0.41325,1.0
SPATA32,x,4,0,0,0.6579999999999999,0.8809999999999999,1.6669999999999998,0.19330702015502804,0.31874,1.0,0.278200377922299,0.41884,1.0
HIST2H2BF,x,4,1,0,0.242,0.8565,1.425,0.193528525810082,0.31897,1.0,0.5303165000246789,0.6299399999999999,1.0
CABP4,x,4,1,0,0.299,0.8225,1.2690000000000001,0.19369132731348998,0.3191,1.0,0.722625247061567,0.73931,1.0
MKRN3,x,4,0,0,0.5579999999999999,0.8375,1.15,0.19381273205828398,0.31928,1.0,1.0,1.0,1.0
CD14,x,4,0,0,0.6459999999999999,0.7915,1.2009999999999998,0.193954397943675,0.3194,1.0,1.0,1.0,1.0
HIST1H3I,x,4,1,0,0.243,0.8665,1.048,0.193968025779004,0.31942,1.0,1.0,1.0,1.0
GPR141,x,4,0,0,0.6829999999999999,0.858,1.078,0.19415682820396804,0.31956,1.0,1.0,1.0,1.0
OTUD7A,x,4,0,1,0.63,0.8535,2.133,0.194197321369313,0.31965,1.0,0.0678817863611973,0.15692,0.9005225299401196
POU5F1B,x,4,1,0,0.426,0.8975,1.319,0.194258065560471,0.31969000000000003,1.0,0.662343883341392,0.69976,1.0
LCE2D,x,4,1,1,0.243,1.171,2.126,0.19431949639726692,0.3198,1.0,0.0690083092596881,0.15903,0.90168247320925
ZNF786,x,4,1,0,0.44799999999999995,0.8055,1.208,0.19439982273122305,0.31984,1.0,0.7917800352492529,0.78925,1.0
NFKBIB,x,4,0,0,0.698,0.8325,1.128,0.19468342403303399,0.32019000000000003,1.0,1.0,1.0,1.0
KLHL15,x,4,0,0,0.618,0.7605,0.9009999999999999,0.194703685701724,0.32021,1.0,1.0,1.0,1.0
FBXW9,x,4,0,1,0.51,0.9075,1.615,0.194764474251515,0.32029,1.0,0.324029365245419,0.46667,1.0
CLPS,x,4,1,1,0.395,0.9445,2.03,0.19484553391727105,0.3204,1.0,0.0929585120030147,0.20163,0.9159270833333334
TOLLIP,x,4,0,0,0.511,0.7855,1.6640000000000001,0.19492660302576198,0.32045,1.0,0.2807050111613309,0.42128000000000004,1.0
ZBTB38,x,4,1,0,0.551,0.7825,1.501,0.19504822438369104,0.32051,1.0,0.440890135460596,0.5745899999999999,1.0
ZNF446,x,4,1,0,0.452,0.961,1.442,0.19512931707915301,0.32064000000000004,1.0,0.37010097484309,0.51251,1.0
TEX261,x,4,0,1,0.48,1.07,1.901,0.195210419201457,0.32073,1.0,0.12936447840592402,0.25718,0.9290711995473404
THAP7,x,4,0,0,0.578,0.8255,1.044,0.19527125197682105,0.32077,1.0,1.0,1.0,1.0
OR11H1,x,4,0,0,0.491,0.8165,0.958,0.195332090050317,0.32082,1.0,1.0,1.0,1.0
MX2,x,4,1,0,0.3720000000000001,0.8345,1.079,0.19535237058518104,0.32082,1.0,1.0,1.0,1.0
DAPK3,x,4,1,0,0.245,0.853,1.3880000000000001,0.195460982116566,0.32095,1.0,0.573520692611049,0.65088,1.0
ABCC11,x,4,1,0,0.495,0.768,1.1420000000000001,0.19549435080039002,0.32095999999999997,1.0,1.0,1.0,1.0
FRS2,x,4,0,1,0.6609999999999999,0.8540000000000001,1.801,0.19555520828398998,0.3211,1.0,0.18540960135927492,0.32506,0.9680564303443996
CRHBP,x,4,1,0,0.245,0.9395,1.463,0.1955926139116481,0.32113,1.0,0.485418043257823,0.60523,1.0
FAM180A,x,4,0,1,0.523,1.0285,6.432,0.195636359822767,0.32116,1.0,0.000154953675016797,0.00059,0.3283858974358975
CD9,x,4,1,0,0.466,0.8595,1.038,0.19569722964485292,0.32123,1.0,1.0,1.0,1.0
MPZL1,x,4,0,0,0.6609999999999999,0.843,1.764,0.195758104751672,0.3213,1.0,0.207807317855378,0.34815999999999997,0.9821485129564193
TAS1R2,n,4,1,0,0.647,0.769,1.275,0.19598135865958505,0.32153000000000004,1.0,0.715891778333275,0.73424,1.0
SLC44A3,x,4,1,0,0.24600000000000002,0.9940000000000001,1.482,0.196118979575069,0.32174,1.0,0.462447352803615,0.5906600000000001,1.0
PRB4,n,4,1,0,0.38299999999999995,0.9840000000000001,1.274,0.196285910097441,0.32189,1.0,0.307929927001526,0.4502600000000001,1.0
TESK2,x,4,0,1,0.662,0.9715,2.074,0.19636714605932198,0.32201,1.0,0.08181738942394601,0.18238,0.9107998828125
HIGD1C,x,4,0,0,0.525,0.8335,1.127,0.196428079171958,0.32209,1.0,1.0,1.0,1.0
GABRA1,n,4,0,1,0.5589999999999999,1.0495,1.818,0.196814110996707,0.32256999999999997,1.0,0.163185724328577,0.30019,0.95185092039801
ALKBH7,x,4,0,0,0.45299999999999996,0.8170000000000001,1.094,0.19689540770252306,0.32268,1.0,1.0,1.0,1.0
